"Letöltés idõpontja";"2017.04.21. 17:21"
"Alap neve:";"AEGON Belföldi Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Hosszú kötvény"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"1998/03/16"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"4,09%"
"5 éves szórás:";"5,08%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"5,177172";"28580607769";"0";"114922,6";"0%";"0,97%";"0,09%";"1,43%";"6,14%";"9,16%";"7,38%"
"2017/04/19";"5,17902";"28590694700";"0";"13891794,07";"0,05%";"0,84%";"0,33%";"1,47%";"6,15%";"9,18%";"7,39%"
"2017/04/18";"5,17826";"28572609377";"0";"25945838,35";"0,09%";"0,85%";"0,46%";"1,57%";"6,15%";"9,22%";"7,39%"
"2017/04/13";"5,178932";"28550368134";"0";"-2910720,54";"-0,01%";"0,68%";"0,72%";"1,66%";"6,15%";"9,27%";"7,41%"
"2017/04/12";"5,171925";"28514646792";"0";"-5274924,18";"-0,02%";"0,5%";"0,62%";"1,87%";"6,11%";"9,2%";"7,4%"
"2017/04/11";"5,17237";"28522375612";"0";"-766079,57";"-0%";"0,66%";"0,55%";"1,91%";"6,11%";"9,29%";"7,44%"
"2017/04/10";"5,172511";"28523919239";"0";"-328350,75";"-0%";"0,91%";"0,39%";"2,27%";"6,1%";"9,31%";"7,45%"
"2017/04/07";"5,170656";"28514018036";"0";"-621326278,64";"-2,13%";"0,22%";"0,25%";"2,06%";"6,19%";"9,31%";"7,45%"
"2017/04/06";"5,172485";"29145650269";"0";"-5673709,59";"-0,02%";"0,25%";"0,05%";"2,04%";"6,21%";"9,31%";"7,45%"
"2017/04/05";"5,172534";"29151600135";"0";"-3854039,48";"-0,01%";"0,03%";"0,05%";"1,9%";"6,21%";"9,32%";"7,46%"
"2017/04/04";"5,175729";"29173463080";"0";"-12984242,26";"-0,04%";"0,1%";"0,03%";"1,78%";"6,23%";"9,29%";"7,47%"
"2017/04/03";"5,178843";"29204007476";"0";"-61421725,94";"-0,21%";"0,07%";"0,06%";"1,83%";"6,32%";"9,23%";"7,47%"
"2017/03/31";"5,172386";"29228940960";"0";"423028,89";"0%";"-0,2%";"-0,09%";"1,54%";"6,27%";"9,35%";"7,45%"
"2017/03/30";"5,163497";"29178287284";"0";"-7397138,02";"-0,03%";"-0,37%";"-0,26%";"1,25%";"6,27%";"9,32%";"7,43%"
"2017/03/29";"5,159668";"29164041728";"0";"-15075125,05";"-0,05%";"-0,36%";"-0,38%";"1,23%";"6,25%";"9,26%";"7,44%"
"2017/03/28";"5,14688";"29106797753";"0";"-7470104,69";"-0,03%";"-0,54%";"-0,63%";"1,05%";"6,16%";"9,14%";"7,42%"
"2017/03/27";"5,146302";"29110998295";"0";"-2589290,12";"-0,01%";"-0,55%";"-0,79%";"1,03%";"6,35%";"9,07%";"7,41%"
"2017/03/24";"5,132747";"29036904429";"0";"108008672,83";"0,37%";"-0,89%";"-1,01%";"0,77%";"6,28%";"9,09%";"7,38%"
"2017/03/23";"5,123539";"28876998152";"0";"78413037,95";"0,27%";"-1,07%";"-1,19%";"0,68%";"6,18%";"9,05%";"7,36%"
"2017/03/22";"5,115417";"28752932664";"0";"-38365821,37";"-0,13%";"-1,18%";"-1,36%";"1,04%";"6,12%";"8,96%";"7,35%"
"2017/03/21";"5,096406";"28684298142";"0";"-8616243,95";"-0,03%";"-1,58%";"-1,6%";"0,58%";"5,99%";"8,79%";"7,32%"
"2017/03/20";"5,097368";"28698330474";"0";"5368150,42";"0,02%";"-1,19%";"-1,62%";"0,78%";"5,99%";"8,78%";"7,31%"
"2017/03/17";"5,095389";"28681822580";"0";"26207694,8";"0,09%";"-0,74%";"-1,09%";"0,78%";"6,13%";"8,78%";"7,42%"
"2017/03/16";"5,096143";"28659855255";"0";"-12179817,48";"-0,04%";"-0,72%";"-1,07%";"1%";"6,2%";"8,78%";"7,42%"
"2017/03/14";"5,09416";"28660878273";"0";"-27135494,73";"-0,09%";"-0,82%";"-0,94%";"1,12%";"6,19%";"8,77%";"7,42%"
"2017/03/13";"5,094894";"28692147325";"0";"-9574079,98";"-0,03%";"-0,76%";"-1,03%";"1,13%";"6,17%";"8,82%";"7,42%"
"2017/03/10";"5,091387";"28681964971";"0";"-3368880,02";"-0,01%";"-0,55%";"-1,12%";"0,94%";"6,2%";"8,82%";"7,41%"
