"Letöltés idõpontja";"2017.04.21. 17:27"
"Alap neve:";"AEGON Climate Change Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:";"B sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Fejlett piaci"
"Devizális kitettség:";"Egyéb"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2008/09/10"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"12,22%"
"5 éves szórás:";"12,3%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,229109";"1092069229";"0";"-725642,83";"-0,07%";"3,99%";"3,72%";"2,71%";"7,07%";"11,32%";""
"2017/04/19";"1,234701";"1097766692";"0";"-2511847,43";"-0,23%";"4,97%";"4,63%";"3%";"7,23%";"11,39%";""
"2017/04/18";"1,240549";"1105489865";"0";"-2190285,67";"-0,2%";"5,28%";"5,9%";"4,69%";"7,4%";"11,42%";""
"2017/04/13";"1,243864";"1110640098";"0";"1994289,49";"0,18%";"6,05%";"7,63%";"5%";"8,11%";"11,52%";""
"2017/04/12";"1,247594";"1111970327";"0";"-4660993,35";"-0,42%";"6,29%";"8,11%";"6,8%";"8,21%";"11,38%";""
"2017/04/11";"1,248804";"1117714304";"0";"-3090174,36";"-0,28%";"5,14%";"8,86%";"7,29%";"8,25%";"11,46%";""
"2017/04/10";"1,244758";"1117173184";"0";"-3355407,2";"-0,3%";"6,21%";"8,11%";"7%";"7,66%";"11,64%";""
"2017/04/07";"1,240675";"1116853083";"0";"-2500052,98";"-0,22%";"5,73%";"7,7%";"7,61%";"7,18%";"11,04%";""
"2017/04/06";"1,239816";"1118578135";"0";"-5495282,45";"-0,49%";"5,66%";"6,16%";"6,83%";"6,82%";"11,02%";""
"2017/04/05";"1,232517";"1117455813";"0";"-379652,27";"-0,03%";"3,99%";"5,3%";"6,65%";"6,61%";"10,85%";""
