"Letöltés idõpontja";"2017.04.21. 17:36"
"Alap neve:";"AEGON IstanBull Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:";"\"A\" sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Feltörekvõ Európa/ Törökország"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2008/11/26"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"28,6%"
"5 éves szórás:";"25,94%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"2,042245";"1862181010";"0";"-5146032,51";"-0,28%";"15,02%";"1,76%";"-11,23%";"-1,47%";"-0,37%";""
"2017/04/19";"2,017512";"1844712420";"0";"26198149,41";"1,43%";"13,7%";"1,12%";"-13,73%";"-1,87%";"-0,67%";""
"2017/04/18";"2,02895";"1828824081";"0";"4684483,34";"0,26%";"13,37%";"2,93%";"-13,31%";"-1,68%";"-0,71%";""
"2017/04/13";"2,013178";"1809959687";"0";"-4751633,78";"-0,26%";"14,91%";"4,76%";"-13,12%";"-1,7%";"-0,98%";""
"2017/04/12";"2,023346";"1823876921";"0";"-550700,87";"-0,03%";"16,65%";"4,16%";"-11,08%";"-1,54%";"-1,02%";""
"2017/04/11";"2,009979";"1812374753";"0";"-2084418,14";"-0,12%";"18,11%";"4,57%";"-11,76%";"-1,75%";"-1,07%";""
"2017/04/10";"2,005547";"1810458292";"0";"-7013421,96";"-0,39%";"16,95%";"3,64%";"-10,61%";"-2,16%";"-0,82%";""
"2017/04/07";"1,961155";"1777242687";"0";"-3511702,53";"-0,2%";"10,2%";"0,9%";"-12%";"-2,92%";"-1,6%";""
"2017/04/06";"1,978318";"1796338618";"0";"-12303069,08";"-0,67%";"11,16%";"1,91%";"-11,79%";"-2,35%";"-1,43%";""
"2017/04/05";"1,994811";"1823720116";"0";"-2352227,14";"-0,13%";"11,71%";"2,73%";"-12,15%";"-2,08%";"-1,58%";""
"2017/04/04";"1,996637";"1827743884";"0";"-2478956,73";"-0,14%";"10,19%";"1,4%";"-12,4%";"-2,05%";"-1,63%";""
"2017/04/03";"1,987789";"1822112297";"0";"-2531835,17";"-0,14%";"9,03%";"0,23%";"-11,59%";"-1,52%";"-1,82%";""
"2017/03/31";"1,986649";"1823597696";"0";"-9843986,6";"-0,54%";"6,15%";"0,37%";"-12,59%";"-0,28%";"-1,54%";""
"2017/03/30";"1,98126";"1828468274";"0";"-4252083,39";"-0,23%";"5,86%";"0,1%";"-12,24%";"0,27%";"-1,59%";""
"2017/03/29";"1,96828";"1820713498";"0";"88896,04";"0%";"4,98%";"-0,56%";"-11,52%";"0,05%";"-1,37%";""
"2017/03/28";"1,974286";"1826180047";"0";"-126919,66";"-0,01%";"5,79%";"-1,89%";"-10,88%";"0,15%";"-1,29%";""
"2017/03/27";"1,976515";"1828368896";"0";"818453,49";"0,04%";"6,33%";"-0,08%";"-10,78%";"1,08%";"-1,41%";""
"2017/03/24";"1,98796";"1838132864";"0";"3108526,96";"0,17%";"6,22%";"-3,9%";"-9,73%";"3,96%";"-1,01%";""
"2017/03/23";"1,973389";"1821574298";"0";"-4228501,08";"-0,23%";"5,45%";"-4,61%";"-9,06%";"3,18%";"-1,15%";""
"2017/03/22";"1,959253";"1812724005";"0";"-4408076,2";"-0,24%";"3,77%";"-5,46%";"-9,59%";"2,93%";"-1,43%";""
"2017/03/21";"1,986386";"1842296899";"0";"-30446984,31";"-1,62%";"4,34%";"-1,96%";"-9,77%";"3,4%";"-0,94%";""
"2017/03/20";"1,992402";"1878415705";"0";"-7176726,06";"-0,38%";"3,58%";"-0,69%";"-9,48%";"3,3%";"-1,01%";""
"2017/03/17";"2,003519";"1896113466";"0";"2773385,59";"0,15%";"5,38%";"0,61%";"-7,52%";"4,33%";"-1,1%";""
"2017/03/16";"1,973873";"1865324394";"0";"-3683596,49";"-0,2%";"3,82%";"-0,88%";"-7,06%";"4,28%";"-1,39%";""
"2017/03/14";"1,943171";"1839937081";"0";"137842,4";"0,01%";"4,25%";"-3,54%";"-10,1%";"3,74%";"-1,7%";""
"2017/03/13";"1,944354";"1840919306";"0";"-4439839,3";"-0,24%";"3,74%";"-3,48%";"-10,05%";"3,89%";"-1,22%";""
"2017/03/10";"1,952514";"1853103687";"0";"-20138970,67";"-1,08%";"5,75%";"-3,08%";"-9,49%";"4,08%";"-1,05%";""
"2017/03/09";"1,93618";"1857571812";"0";"-3409419,84";"-0,18%";"4,87%";"-3,89%";"-9,79%";"3,32%";"-1,22%";""
"2017/03/08";"1,96995";"1893439648";"0";"3743620,16";"0,2%";"5,22%";"-3,35%";"-6,4%";"3,92%";"-1,08%";""
"2017/03/07";"1,997052";"1915693917";"0";"-19332012,37";"-1,01%";"7,9%";"-2,74%";"-4,65%";"4,4%";"-0,77%";""
"2017/03/06";"1,979682";"1918195421";"0";"-6960649,37";"-0,36%";"10,39%";"-4,51%";"-5,17%";"3,39%";"-0,77%";""
"2017/03/03";"1,980053";"1925516852";"0";"-225472,67";"-0,01%";"13,4%";"-2,67%";"-5,04%";"4,92%";"-1,06%";""
"2017/03/02";"1,979052";"1924768781";"0";"2036997,51";"0,1%";"13,34%";"-2,72%";"-4,67%";"4,33%";"-1,07%";""
"2017/03/01";"2,003705";"1946683204";"0";"-3955287,56";"-0,21%";"14,46%";"-0,79%";"-1,49%";"4,76%";"-0,76%";""
"2017/02/28";"1,9672";"1915100297";"0";"-248247,72";"-0,01%";"10,17%";"-3,37%";"-2,5%";"4,12%";"-0,87%";""
"2017/02/27";"1,990406";"1937942881";"0";"1057935,2";"0,05%";"12,83%";"-2,23%";"-1,35%";"5,06%";"-0,27%";""
"2017/02/24";"2,006564";"1952608465";"0";"-5530383,39";"-0,28%";"12,22%";"-0,05%";"1,23%";"3,2%";"-0,26%";""
