"Letöltés idõpontja";"2017.04.21. 17:28"
"Alap neve:";"AEGON Közép-Európai Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:";"A sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Közép-Kelet-Európa"
"Devizális kitettség:";"Egyéb"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"UCITS (európai) alap"
"Alap indulási dátuma:";"1998/03/16"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"12,37%"
"5 éves szórás:";"12,46%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"5,269714";"5540146759";"0";"-956400,29";"-0,02%";"10,7%";"21,86%";"19,99%";"6,02%";"6,71%";"2,33%"
"2017/04/19";"5,261624";"5532596526";"0";"617509,64";"0,01%";"10,78%";"22,34%";"19,4%";"5,96%";"6,62%";"2,44%"
"2017/04/18";"5,22075";"5489004811";"0";"1185376,8";"0,02%";"10,29%";"22,09%";"19,24%";"5,69%";"6,32%";"2,34%"
"2017/04/13";"5,228356";"5495814522";"0";"5726477,07";"0,1%";"10,36%";"24,04%";"19,92%";"5,64%";"6,34%";"2,5%"
"2017/04/12";"5,202086";"5462502966";"0";"6010162";"0,11%";"9,53%";"21,95%";"20,74%";"5,46%";"5,97%";"2,55%"
"2017/04/11";"5,219895";"5475172749";"0";"-4464252,79";"-0,08%";"9,01%";"22,47%";"20,37%";"5,58%";"6,17%";"2,55%"
"2017/04/10";"5,253274";"5514676941";"0";"21306549,32";"0,39%";"10,24%";"23,12%";"20,48%";"5,67%";"6,55%";"2,67%"
"2017/04/07";"5,252313";"5492365470";"0";"182633,3";"0%";"10,87%";"23,85%";"21,22%";"5,76%";"6,26%";"2,78%"
"2017/04/06";"5,236037";"5475163522";"0";"-96907362,85";"-1,75%";"10,53%";"22,77%";"20,23%";"5,43%";"6,2%";"2,74%"
"2017/04/05";"5,204148";"5538135340";"0";"666375,14";"0,01%";"9,61%";"21,74%";"18,81%";"5,22%";"5,97%";"2,71%"
"2017/04/04";"5,155041";"5485216706";"0";"1335521,62";"0,02%";"8,77%";"20,57%";"15,75%";"4,89%";"5,78%";"2,65%"
"2017/04/03";"5,134812";"5462361776";"0";"-355358,9";"-0,01%";"8,87%";"21,47%";"15,63%";"4,84%";"5,36%";"2,63%"
"2017/03/31";"5,071858";"5395742941";"0";"3572651,84";"0,07%";"9,35%";"20,68%";"13,34%";"4,57%";"5,07%";"2,6%"
"2017/03/30";"5,137668";"5462136508";"0";"509851,95";"0,01%";"10,77%";"22,24%";"14,79%";"5,07%";"5,34%";"2,73%"
"2017/03/29";"5,131946";"5455543852";"0";"34064446,68";"0,63%";"11,05%";"21,34%";"16,88%";"5,03%";"5,58%";"2,81%"
"2017/03/28";"5,120281";"5409156291";"0";"-1897909,69";"-0,04%";"11,17%";"21,91%";"17,45%";"4,95%";"5,27%";"2,83%"
"2017/03/27";"5,087699";"5376621917";"0";"868063,93";"0,02%";"10,36%";"21,49%";"16,7%";"4,74%";"5,05%";"2,72%"
"2017/03/24";"5,128647";"5419020243";"0";"17857964,12";"0,33%";"11,23%";"20,71%";"17,64%";"5,74%";"5,31%";"2,73%"
"2017/03/23";"5,116801";"5388686831";"0";"13718649,47";"0,26%";"10,97%";"20,43%";"17,21%";"5,71%";"5,26%";"2,7%"
"2017/03/22";"5,082143";"5338561519";"0";"-6307299,99";"-0,12%";"9,81%";"18,56%";"15,8%";"5,47%";"5,26%";"2,75%"
