"Letöltés idõpontja";"2017.04.21. 17:22"
"Alap neve:";"AEGON Lengyel Kötvény Alap"
"Befektetési sorozat megjelölése:";"A sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Hosszú kötvény"
"Földrajzi kitettség:";"Közép-Kelet-Európa"
"Devizális kitettség:";"PLN"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2011/11/18"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"7,1%"
"5 éves szórás:";"6,95%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,523409";"92136549";"0";"0,32";"0%";"5,53%";"2,81%";"1,64%";"2,75%";"4,16%";""
"2017/04/19";"1,533422";"92742140";"0";"0,38";"0%";"6,38%";"3,8%";"2,14%";"2,97%";"4,22%";""
"2017/04/18";"1,534018";"92778186";"0";"629937,61";"0,69%";"6,18%";"3,72%";"2,21%";"2,98%";"4,25%";""
"2017/04/13";"1,526612";"91703371";"0";"104577,49";"0,11%";"6,17%";"3,11%";"1,06%";"2,75%";"4,17%";""
"2017/04/12";"1,518877";"91134683";"0";"0,32";"0%";"5,26%";"2,58%";"0,4%";"2,58%";"4,01%";""
"2017/04/11";"1,522058";"91325547";"0";"389345,74";"0,43%";"4,81%";"2,97%";"0,36%";"2,65%";"4,07%";""
"2017/04/10";"1,520542";"90845627";"0";"320972,39";"0,35%";"5,07%";"3,06%";"0,38%";"2,59%";"4,16%";""
"2017/04/07";"1,521177";"90562459";"0";"0,51";"0%";"5,82%";"2,97%";"0,02%";"2,59%";"4,13%";""
"2017/04/06";"1,516622";"90291279";"0";"-33159675,47";"-26,96%";"5,51%";"2,59%";"-0,69%";"2,46%";"4,06%";""
"2017/04/05";"1,511122";"123003262";"0";"-0,01";"-0%";"4,98%";"1,74%";"-1,57%";"2,33%";"3,88%";""
"2017/04/04";"1,506747";"122647143";"0";"-0,5";"-0%";"4,97%";"0,57%";"-2,08%";"2,23%";"3,94%";""
"2017/04/03";"1,515004";"123319252";"0";"-4560667,49";"-3,57%";"5,69%";"0,94%";"-1,8%";"2,45%";"3,95%";""
"2017/03/31";"1,514235";"127815009";"0";"-0,1";"-0%";"5,27%";"1,18%";"-1,21%";"2,57%";"3,99%";""
"2017/03/30";"1,515406";"127913852";"0";"0,05";"0%";"5,35%";"1,26%";"-1,54%";"2,3%";"4,01%";""
"2017/03/29";"1,510682";"127515104";"0";"0,05";"0%";"4,85%";"1,04%";"-1,72%";"2,19%";"4,15%";""
"2017/03/28";"1,503794";"126933695";"0";"-45113,56";"-0,04%";"4,38%";"0,26%";"-1,65%";"2,03%";"4,09%";""
