"Letöltés idõpontja";"2017.04.21. 17:33"
"Alap neve:";"AEGON Lengyel Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:";"B sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Közép-Kelet-Európa"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2012/01/03"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"16,75%"
"5 éves szórás:";"15,65%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,387781";"3772062213";"0";"9506860,6";"0,25%";"14,15%";"27,32%";"25,49%";"3,83%";"6,25%";""
"2017/04/19";"1,391581";"3772857922";"0";"-0,7";"-0%";"14,62%";"27,93%";"25,69%";"3,92%";"6,13%";""
"2017/04/18";"1,372701";"3721670419";"0";"-4525923,55";"-0,12%";"13,63%";"27,08%";"24,8%";"3,45%";"5,73%";""
"2017/04/13";"1,366251";"3708687820";"0";"1726749,39";"0,05%";"13,16%";"27,32%";"23,76%";"2,87%";"5,59%";""
"2017/04/12";"1,353952";"3673590984";"0";"0,39";"0%";"11,66%";"24,39%";"24,37%";"2,56%";"5,17%";""
"2017/04/11";"1,360087";"3690236685";"0";"174999,91";"0%";"11,35%";"25,03%";"24,33%";"2,72%";"5,49%";""
"2017/04/10";"1,376614";"3734901206";"0";"5199999,28";"0,14%";"13,88%";"26,64%";"25,56%";"3%";"6,04%";""
"2017/04/07";"1,38279";"3746434027";"0";"-2199705,93";"-0,06%";"16,3%";"27,92%";"26,41%";"3,27%";"5,79%";""
"2017/04/06";"1,382437";"3747676778";"0";"128448,57";"0%";"16,27%";"27,16%";"26,11%";"2,95%";"5,79%";""
"2017/04/05";"1,376298";"3730906559";"0";"150000,37";"0%";"15,59%";"26,16%";"23,55%";"2,79%";"5,62%";""
"2017/04/04";"1,361511";"3690673163";"0";"2129162,18";"0,06%";"14,49%";"24,44%";"19,57%";"2,42%";"5,46%";""
"2017/04/03";"1,359341";"3682665135";"0";"386575,97";"0,01%";"14,9%";"25,19%";"19,91%";"2,51%";"5,04%";""
"2017/03/31";"1,342254";"3635992091";"0";"0,25";"0%";"14,98%";"24,51%";"17,72%";"2,07%";"4,92%";""
"2017/03/30";"1,359401";"3682441091";"0";"1655243,02";"0,04%";"16,44%";"26,1%";"18,76%";"2,58%";"5,19%";""
"2017/03/29";"1,36165";"3686875359";"0";"480372,19";"0,01%";"17,02%";"25,14%";"21%";"2,64%";"5,51%";""
"2017/03/28";"1,359527";"3680647389";"0";"924632,07";"0,03%";"17,74%";"24,93%";"22,07%";"2,59%";"5,21%";""
"2017/03/27";"1,344433";"3638869037";"0";"-84214014,94";"-2,24%";"16,06%";"24,13%";"20,72%";"2,16%";"4,86%";""
"2017/03/24";"1,360196";"3766734880";"0";"14353521,37";"0,38%";"17,46%";"24,27%";"22,13%";"3,38%";"5,38%";""
"2017/03/23";"1,357661";"3745388038";"0";"-1056660,42";"-0,03%";"17,24%";"24,04%";"21,81%";"3,33%";"5,34%";""
"2017/03/22";"1,345012";"3711539977";"0";"-1786369,95";"-0,05%";"15,82%";"21,45%";"20,79%";"3%";"5,35%";""
"2017/03/21";"1,368842";"3779116516";"0";"-52009866,12";"-1,35%";"18,4%";"25,04%";"23,2%";"3,61%";"5,5%";""
"2017/03/20";"1,380482";"3863704511";"0";"5614792,53";"0,15%";"18,26%";"26,31%";"23,88%";"3,95%";"5,6%";""
"2017/03/17";"1,384195";"3868466592";"0";"-1665943,67";"-0,04%";"19,26%";"27,82%";"25,75%";"3,94%";"5,3%";""
"2017/03/16";"1,377402";"3851139684";"0";"47228,69";"0%";"18,67%";"27,19%";"26,92%";"4,46%";"5,2%";""
"2017/03/14";"1,360993";"3805214363";"0";"1176330,53";"0,03%";"16,21%";"26,95%";"25,96%";"4,05%";"4,94%";""
"2017/03/13";"1,358265";"3796413147";"0";"528893,77";"0,01%";"16,9%";"27,28%";"25,7%";"4,01%";"4,95%";""
"2017/03/10";"1,33904";"3742156980";"0";"1999999,49";"0,05%";"15,93%";"23,96%";"25,04%";"2,53%";"4,72%";""
"2017/03/09";"1,328822";"3711616441";"0";"2725309,67";"0,07%";"15,04%";"23,02%";"24,74%";"1,89%";"4,56%";""
