"Letöltés idõpontja";"2017.04.21. 17:09"
"Alap neve:";"AEGON MoneyMaxx Expressz Abszolút Hozamú Befektetési Alap"
"Befektetési sorozat megjelölése:";"A sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";"Egyéb"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"UCITS (európai) alap"
"Alap indulási dátuma:";"2003/12/11"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"1,28%"
"5 éves szórás:";"2,38%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"2,699177";"26404207221";"0";"6981826,15";"0,03%";"0,96%";"0,72%";"2,78%";"3,3%";"6,05%";"4,54%"
"2017/04/19";"2,698559";"26391181521";"0";"1198600,5";"0%";"0,94%";"0,74%";"2,79%";"3,29%";"6,07%";"4,56%"
"2017/04/18";"2,69839";"26388330221";"0";"11746100,3";"0,04%";"0,9%";"0,83%";"2,83%";"3,29%";"6,05%";"4,58%"
"2017/04/13";"2,699158";"26384091270";"0";"-17357384,07";"-0,07%";"0,94%";"0,97%";"2,92%";"3,31%";"6,07%";"4,61%"
"2017/04/12";"2,698198";"26392058544";"0";"-14643676,21";"-0,06%";"0,9%";"0,91%";"2,94%";"3,3%";"6,01%";"4,6%"
"2017/04/11";"2,698396";"26408640005";"0";"3979057,41";"0,02%";"0,87%";"0,9%";"2,95%";"3,3%";"6,04%";"4,63%"
"2017/04/10";"2,698889";"26409485109";"0";"7419942,15";"0,03%";"0,9%";"0,87%";"2,81%";"3,3%";"6,11%";"4,64%"
"2017/04/07";"2,699053";"26403669508";"0";"-115257948,87";"-0,43%";"0,88%";"0,87%";"2,77%";"3,34%";"6,06%";"4,65%"
"2017/04/06";"2,698692";"26515380534";"0";"-27336751,36";"-0,1%";"0,87%";"0,84%";"2,79%";"3,34%";"6,05%";"4,65%"
"2017/04/05";"2,695759";"26513870055";"0";"-4899197,67";"-0,02%";"0,76%";"0,73%";"2,71%";"3,3%";"6,02%";"4,64%"
"2017/04/04";"2,69549";"26516123041";"0";"-24475194,63";"-0,09%";"0,76%";"0,67%";"2,62%";"3,29%";"6%";"4,65%"
"2017/04/03";"2,695015";"26535921244";"0";"-34616610,12";"-0,13%";"0,81%";"0,66%";"2,64%";"3,31%";"5,96%";"4,65%"
"2017/03/31";"2,693271";"26553343509";"0";"-8436399,89";"-0,03%";"0,81%";"0,6%";"2,52%";"3,35%";"5,93%";"4,67%"
"2017/03/30";"2,691582";"26545122526";"0";"-20130567,63";"-0,08%";"0,75%";"0,54%";"2,39%";"3,37%";"5,91%";"4,67%"
"2017/03/29";"2,691031";"26559814859";"0";"-29418168,19";"-0,11%";"0,72%";"0,47%";"2,45%";"3,36%";"5,92%";"4,68%"
"2017/03/28";"2,689167";"26570815428";"0";"-32719150,65";"-0,12%";"0,66%";"0,37%";"2,4%";"3,34%";"5,89%";"4,68%"
"2017/03/27";"2,686895";"26581058016";"0";"-27507864,83";"-0,1%";"0,57%";"0,31%";"2,32%";"3,37%";"5,89%";"4,67%"
"2017/03/24";"2,686227";"26601950616";"0";"26776077,51";"0,1%";"0,54%";"0,22%";"2,3%";"3,43%";"5,88%";"4,67%"
"2017/03/23";"2,685476";"26567744803";"0";"18352636,86";"0,07%";"0,51%";"0,19%";"2,18%";"3,41%";"5,88%";"4,66%"
"2017/03/22";"2,683255";"26527434718";"0";"-33297090,94";"-0,13%";"0,43%";"0,07%";"2,19%";"3,39%";"5,87%";"4,67%"
"2017/03/21";"2,684362";"26571689668";"0";"-36012209,14";"-0,14%";"0,51%";"0,19%";"2,26%";"3,4%";"5,89%";"4,69%"
"2017/03/20";"2,683913";"26603251338";"0";"-3849163,39";"-0,01%";"0,56%";"0,22%";"2,26%";"3,4%";"5,88%";"4,69%"
"2017/03/17";"2,683239";"26600418770";"0";"19404044,98";"0,07%";"0,61%";"0,39%";"2,31%";"3,45%";"5,93%";"4,74%"
"2017/03/16";"2,683062";"26579261307";"0";"-8493184,77";"-0,03%";"0,61%";"0,38%";"2,36%";"3,5%";"5,93%";"4,73%"
"2017/03/14";"2,678614";"26543677116";"0";"-39999375,61";"-0,15%";"0,4%";"0,29%";"2,19%";"3,44%";"5,9%";"4,72%"
"2017/03/13";"2,679625";"26593710075";"0";"-1612713,67";"-0,01%";"0,49%";"0,28%";"2,23%";"3,44%";"5,9%";"4,72%"
"2017/03/10";"2,679405";"26593139285";"0";"13218541,78";"0,05%";"0,55%";"0,14%";"2,44%";"3,46%";"5,93%";"4,73%"
"2017/03/09";"2,67885";"26574415097";"0";"-16027359,15";"-0,06%";"0,53%";"0,12%";"2,42%";"3,41%";"5,93%";"4,73%"
"2017/03/08";"2,679316";"26595068003";"0";"-20839614,75";"-0,08%";"0,58%";"-0,01%";"2,41%";"3,42%";"5,93%";"4,75%"
"2017/03/07";"2,679847";"26621182489";"0";"-124654755,34";"-0,47%";"0,66%";"0,02%";"2,41%";"3,43%";"5,94%";"4,79%"
"2017/03/06";"2,68088";"26756146956";"0";"-56641743,06";"-0,21%";"0,81%";"0,17%";"2,48%";"3,4%";"5,95%";"4,8%"
"2017/03/03";"2,681542";"26819409684";"0";"-860613,99";"-0%";"0,93%";"0,32%";"2,54%";"3,53%";"5,87%";"4,8%"
"2017/03/02";"2,681725";"26822100629";"0";"-28226558,64";"-0,11%";"0,94%";"0,33%";"2,59%";"3,48%";"5,87%";"4,8%"
"2017/03/01";"2,682097";"26854051776";"0";"-48123878,62";"-0,18%";"0,88%";"0,35%";"2,64%";"3,48%";"5,88%";"4,79%"
"2017/02/28";"2,677794";"26859015373";"0";"-32123669,29";"-0,12%";"0,64%";"0,24%";"2,63%";"3,43%";"5,92%";"4,78%"
"2017/02/27";"2,678459";"26897817154";"0";"-18029566,89";"-0,07%";"0,69%";"0,26%";"2,66%";"3,46%";"5,96%";"4,76%"
"2017/02/24";"2,677387";"26905074188";"0";"-7717246,33";"-0,03%";"0,59%";"0,25%";"2,74%";"3,39%";"5,98%";"4,74%"
"2017/02/23";"2,680247";"26941539831";"0";"-5804088,32";"-0,02%";"0,74%";"0,36%";"2,89%";"3,46%";"6,06%";"4,75%"
"2017/02/22";"2,680565";"26950541108";"0";"-24377420,77";"-0,09%";"0,78%";"0,38%";"2,95%";"3,46%";"6,08%";"4,76%"
"2017/02/21";"2,680396";"26973217857";"0";"6998852,15";"0,03%";"0,81%";"0,37%";"3,03%";"3,46%";"6,11%";"4,77%"
"2017/02/20";"2,678807";"26950232814";"0";"-7916086,53";"-0,03%";"0,79%";"0,31%";"2,97%";"3,47%";"6,09%";"4,76%"
"2017/02/17";"2,677595";"26945951950";"0";"5677765,69";"0,02%";"0,68%";"0,26%";"3,04%";"3,37%";"6,1%";"4,75%"
"2017/02/16";"2,678848";"26952881081";"0";"-4841433,62";"-0,02%";"0,78%";"0,29%";"3,14%";"3,4%";"6,14%";"4,76%"
"2017/02/15";"2,680147";"26970794582";"0";"-5521815,97";"-0,02%";"0,82%";"0,35%";"3,2%";"3,42%";"6,19%";"4,76%"
"2017/02/14";"2,678691";"26961661412";"0";"-6590670,36";"-0,02%";"0,83%";"0,32%";"3,27%";"3,4%";"6,21%";"4,75%"
"2017/02/13";"2,678063";"26961929568";"0";"-16850311,06";"-0,06%";"0,63%";"0,29%";"3,24%";"3,47%";"6,19%";"4,78%"
"2017/02/10";"2,677769";"26975818126";"0";"-40907036,82";"-0,15%";"0,4%";"0,36%";"3,26%";"3,49%";"6,24%";"4,79%"
"2017/02/09";"2,676903";"27007987858";"0";"-6622679,24";"-0,02%";"0,15%";"0,39%";"3,27%";"3,54%";"6,15%";"4,78%"
"2017/02/08";"2,675871";"27004195861";"0";"-14387160,19";"-0,05%";"-0,07%";"0,41%";"3,13%";"3,53%";"6,17%";"4,79%"
"2017/02/07";"2,676646";"27026408287";"0";"-116706514,6";"-0,43%";"-0,04%";"0,48%";"3,17%";"3,54%";"6,18%";"4,8%"
"2017/02/06";"2,6771";"27147718688";"0";"-12891508,12";"-0,05%";"0,07%";"0,49%";"3,18%";"3,56%";"6,15%";"4,79%"
"2017/02/03";"2,676065";"27150109568";"0";"-1485421,34";"-0,01%";"0%";"0,53%";"3,09%";"3,64%";"6,22%";"4,81%"
"2017/02/02";"2,675659";"27147475677";"0";"-15697987,39";"-0,06%";"-0%";"0,46%";"3,07%";"3,61%";"6,27%";"4,8%"
"2017/02/01";"2,675691";"27163498527";"0";"-8950189,01";"-0,03%";"-0,11%";"0,42%";"2,95%";"3,61%";"6,32%";"4,82%"
"2017/01/31";"2,674865";"27164060437";"0";"-5551088,29";"-0,02%";"-0,14%";"0,42%";"3,03%";"3,6%";"6,46%";"4,82%"
"2017/01/30";"2,675419";"27175238712";"0";"-5530548,47";"-0,02%";"-0,12%";"0,44%";"3,05%";"3,58%";"6,5%";"4,83%"
"2017/01/27";"2,676301";"27189729890";"0";"-7417887,95";"-0,03%";"-0,1%";"0,51%";"3,24%";"3,47%";"6,46%";"4,85%"
"2017/01/26";"2,67574";"27191446775";"0";"-24828539,05";"-0,09%";"-0,22%";"0,5%";"3,23%";"3,4%";"6,49%";"4,85%"
"2017/01/25";"2,67537";"27212511861";"0";"-22912674,24";"-0,08%";"-0,29%";"0,51%";"3,25%";"3,4%";"6,56%";"4,87%"
"2017/01/24";"2,674231";"27223829448";"0";"21690845,26";"0,08%";"-0,31%";"0,52%";"3,17%";"3,38%";"6,63%";"4,84%"
"2017/01/23";"2,673438";"27194072248";"0";"36634342,65";"0,13%";"-0,29%";"0,49%";"3,14%";"3,27%";"6,62%";"4,87%"
"2017/01/20";"2,673604";"27159124174";"0";"-3999932,69";"-0,01%";"-0,24%";"0,53%";"3,4%";"3,28%";"6,73%";"4,87%"
