"Letöltés idõpontja";"2017.04.21. 17:25"
"Alap neve:";"AEGON Nemzetközi Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Szabad futamidejû"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";"Egyéb"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"1999/04/21"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"6,42%"
"5 éves szórás:";"8,52%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"2,017913";"1563831625";"0";"-677301,98";"-0,04%";"2,2%";"1,09%";"2,42%";"6,63%";"4,83%";"5,77%"
"2017/04/19";"2,025091";"1570074105";"0";"1013191,01";"0,06%";"2,6%";"1,83%";"2,33%";"6,75%";"4,81%";"5,73%"
"2017/04/18";"2,030709";"1573413797";"0";"3800104,58";"0,24%";"2,89%";"2,2%";"2,35%";"6,85%";"4,86%";"5,82%"
"2017/04/13";"2,021784";"1562715214";"0";"-3319395,04";"-0,21%";"2,36%";"1,71%";"1,75%";"6,82%";"4,81%";"5,79%"
"2017/04/12";"2,019202";"1564034642";"0";"82688,08";"0,01%";"1,81%";"2,23%";"2,06%";"6,77%";"4,8%";"5,76%"
"2017/04/11";"2,016226";"1561646924";"0";"-7330894,56";"-0,47%";"0,84%";"2,67%";"1,44%";"6,72%";"4,63%";"5,74%"
"2017/04/10";"2,007366";"1562083183";"0";"-5221071,26";"-0,33%";"0,96%";"2,39%";"0,72%";"6,6%";"4,71%";"5,65%"
"2017/04/07";"2,000467";"1561917677";"0";"-1252967,78";"-0,08%";"1,06%";"1,68%";"0,55%";"6,27%";"4,73%";"5,61%"
"2017/04/06";"1,998519";"1561648472";"0";"-19509746,52";"-1,24%";"0,96%";"1,28%";"0,23%";"6,22%";"4,71%";"5,6%"
"2017/04/05";"1,99343";"1577131980";"0";"-1281889,31";"-0,08%";"-0,5%";"0,67%";"-0,34%";"6,13%";"4,7%";"5,56%"
"2017/04/04";"1,989478";"1575284644";"0";"978343,81";"0,06%";"-0,76%";"-0,6%";"-0,2%";"6,06%";"4,81%";"5,53%"
"2017/04/03";"1,992184";"1576447602";"0";"-937781,26";"-0,06%";"-0,94%";"-0,74%";"-0,27%";"6,16%";"5,02%";"5,49%"
"2017/03/31";"1,979824";"1567598896";"0";"73784,52";"0%";"-1,3%";"-2,05%";"-1,27%";"5,98%";"4,76%";"5,32%"
"2017/03/30";"1,984325";"1571088777";"0";"-665137,52";"-0,04%";"-1,08%";"-1,83%";"-0,88%";"5,78%";"4,81%";"5,35%"
"2017/03/29";"1,978443";"1567094871";"0";"-3339663,47";"-0,21%";"-1,51%";"-1,75%";"-2,01%";"5,68%";"4,9%";"5,3%"
"2017/03/28";"1,966875";"1561252169";"0";"-1349693,72";"-0,09%";"-1,94%";"-2,3%";"-2,1%";"5,47%";"4,89%";"5,2%"
"2017/03/27";"1,970835";"1565747921";"0";"34998,51";"0%";"-1,58%";"-1,65%";"-1,9%";"5,24%";"5,04%";"5,26%"
"2017/03/24";"1,969171";"1564390972";"0";"4331550,11";"0,28%";"-1,97%";"-1,43%";"-2,05%";"5,34%";"4,78%";"5,29%"
"2017/03/23";"1,967889";"1559043768";"0";"-7408904,96";"-0,47%";"-2,03%";"-1,49%";"-1,84%";"5,47%";"4,77%";"5,28%"
"2017/03/22";"1,965478";"1564533501";"0";"-268221,38";"-0,02%";"-2,14%";"-1,92%";"-1,18%";"5,43%";"4,68%";"5,29%"
"2017/03/21";"1,961338";"1561505690";"0";"-1214735,49";"-0,08%";"-2,71%";"-2,43%";"-0,92%";"5,36%";"4,97%";"5,21%"
"2017/03/20";"1,961942";"1563201670";"0";"2055105,33";"0,13%";"-2,89%";"-2,15%";"-1,24%";"5,45%";"4,94%";"5,25%"
"2017/03/17";"1,962439";"1561542035";"0";"987883,61";"0,06%";"-2,57%";"-2,11%";"-0,89%";"5,4%";"4,7%";"5,08%"
"2017/03/16";"1,966389";"1563695237";"0";"-42976,81";"-0%";"-2,37%";"-1,92%";"-1,46%";"5,3%";"4,74%";"5,1%"
"2017/03/14";"1,983202";"1577108473";"0";"421364,46";"0,03%";"-1,6%";"-1,18%";"-0,28%";"5,6%";"4,92%";"5,19%"
"2017/03/13";"1,979785";"1573970522";"0";"-10868002,01";"-0,68%";"-1,8%";"-1,32%";"-0,45%";"5,77%";"4,68%";"5,29%"
"2017/03/10";"1,984726";"1588793846";"0";"125307,77";"0,01%";"-1,27%";"-0,82%";"-0,77%";"5,92%";"4,74%";"5,27%"
"2017/03/09";"1,983118";"1587381419";"0";"-75992,6";"-0%";"-1,35%";"-0,9%";"-1,21%";"6,1%";"4,72%";"5,26%"
"2017/03/08";"1,985487";"1589353762";"0";"25266,76";"0%";"-0,36%";"-1,42%";"-1,27%";"6,14%";"4,78%";"5,25%"
"2017/03/07";"1,987487";"1590929441";"0";"116401,2";"0,01%";"-0,73%";"-2,28%";"-0,39%";"6,18%";"4,65%";"5,2%"
"2017/03/06";"1,98588";"1589526774";"0";"-32018805,72";"-1,96%";"-0,86%";"-2,83%";"-0,71%";"5,96%";"4,66%";"5,19%"
"2017/03/03";"1,998499";"1631849467";"0";"-479126,66";"-0,03%";"-0,99%";"-1,71%";"-0,52%";"5,63%";"5,29%";"5,24%"
"2017/03/02";"1,98804";"1623785920";"0";"0,2";"0%";"-1,51%";"-2,22%";"-1,05%";"5,78%";"5,17%";"5,19%"
"2017/03/01";"1,987635";"1623455125";"0";"-821652,26";"-0,05%";"-0,76%";"-2,63%";"-1,04%";"5,77%";"5,28%";"5,18%"
"2017/02/28";"1,989506";"1625805741";"0";"-1412974,84";"-0,09%";"-0,21%";"-1,58%";"-0,62%";"5,81%";"5,21%";"5,18%"
"2017/02/27";"1,993086";"1630146801";"0";"-337752,4";"-0,02%";"0,02%";"-1,4%";"-0,44%";"5,59%";"5,09%";"5,21%"
"2017/02/24";"1,998269";"1634724612";"0";"-3400822,24";"-0,21%";"-0,01%";"-1,5%";"-0,2%";"6,17%";"5,42%";"5,32%"
"2017/02/23";"1,992264";"1633202702";"0";"-1131956,28";"-0,07%";"0,47%";"-1,92%";"0,3%";"5,91%";"5,39%";"5,29%"
"2017/02/22";"1,987936";"1630784225";"0";"628380,52";"0,04%";"0,32%";"-2,1%";"0,2%";"5,83%";"5,37%";"5,31%"
"2017/02/21";"1,983885";"1626833926";"0";"2412449,79";"0,15%";"-0,07%";"-1,99%";"-0,33%";"5,76%";"5,41%";"5,26%"
"2017/02/20";"1,982243";"1623076993";"0";"-262186,09";"-0,02%";"-0,52%";"-2,07%";"-0,41%";"5,53%";"5,23%";"5,28%"
"2017/02/17";"1,977383";"1619359128";"0";"1818089,87";"0,11%";"-0,13%";"-2,64%";"-0,18%";"5,87%";"4,98%";"5,22%"
"2017/02/16";"1,977803";"1617884607";"0";"1436699,7";"0,09%";"-0,71%";"-2,24%";"-0,05%";"5,91%";"4,59%";"5,23%"
"2017/02/15";"1,982047";"1619916506";"0";"-741674,23";"-0,05%";"0,15%";"-2,59%";"0,51%";"5,99%";"5%";"5,26%"
"2017/02/14";"1,978354";"1617638529";"0";"-737793,66";"-0,05%";"0,37%";"-3,29%";"0,7%";"5,92%";"4,88%";"5,21%"
"2017/02/13";"1,97994";"1619673737";"0";"-545455,66";"-0,03%";"0,56%";"-3,21%";"0,78%";"5,6%";"4,99%";"5,18%"
"2017/02/10";"1,980543";"1620712638";"0";"-724064,78";"-0,04%";"1,56%";"-3,39%";"-0,12%";"5,81%";"4,94%";"5,22%"
"2017/02/09";"1,980782";"1621632368";"0";"205290,01";"0,01%";"1,98%";"-3,43%";"-0,3%";"5,9%";"5,11%";"5,22%"
"2017/02/08";"1,991171";"1629931298";"0";"248325,19";"0,02%";"1,39%";"-2,88%";"0,51%";"6,08%";"5,29%";"5,24%"
"2017/02/07";"1,981485";"1621755422";"0";"352046,19";"0,02%";"0,82%";"-3,17%";"0,57%";"5,91%";"4,93%";"5,21%"
