"Letöltés idõpontja";"2017.04.21. 17:30"
"Alap neve:";"AEGON Nemzetközi Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Fejlett piaci"
"Devizális kitettség:";"Egyéb"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"1999/04/21"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"12,11%"
"5 éves szórás:";"12,14%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,391269";"4189752136";"0";"-49910287,12";"-1,18%";"4,5%";"12,1%";"12,81%";"9,5%";"10,16%";"2,95%"
"2017/04/19";"1,38844";"4231041513";"0";"-2684637,77";"-0,06%";"4,67%";"12,32%";"12,7%";"9,43%";"10,02%";"2,95%"
"2017/04/18";"1,392335";"4245603051";"0";"3214267,02";"0,08%";"4,88%";"12,92%";"13,84%";"9,53%";"10%";"3,01%"
"2017/04/13";"1,395793";"4252925171";"0";"-6640715,77";"-0,16%";"4,5%";"14,18%";"14,84%";"10,49%";"10,23%";"3,11%"
"2017/04/12";"1,401781";"4277839571";"0";"-441819,34";"-0,01%";"5,32%";"14,54%";"17,73%";"10,65%";"10,16%";"3,14%"
"2017/04/11";"1,405139";"4288530116";"0";"1053063,23";"0,02%";"4,08%";"15,45%";"18,68%";"10,74%";"10,33%";"3,22%"
"2017/04/10";"1,402241";"4278634434";"0";"1886164,62";"0,04%";"4,62%";"14,63%";"18,27%";"10,3%";"10,55%";"3,11%"
"2017/04/07";"1,398466";"4265234753";"0";"6452301,96";"0,15%";"4,4%";"14,66%";"19,02%";"9,8%";"10,05%";"3,14%"
"2017/04/06";"1,396227";"4251963970";"0";"-16340000,5";"-0,38%";"4,23%";"13,93%";"17,46%";"9,28%";"10,02%";"3,12%"
"2017/04/05";"1,390408";"4250515129";"0";"1746051,89";"0,04%";"2,99%";"13,11%";"18,02%";"9,13%";"9,89%";"3,05%"
"2017/04/04";"1,390706";"4249679697";"0";"5201712,98";"0,12%";"2,64%";"12,3%";"16,49%";"9,14%";"10,08%";"3,07%"
"2017/04/03";"1,388327";"4237217202";"0";"-1607092,77";"-0,04%";"2,46%";"12,43%";"16,21%";"8,91%";"9,96%";"3,03%"
"2017/03/31";"1,388519";"4239410507";"0";"3998920,71";"0,09%";"3,82%";"11,76%";"15,19%";"9,31%";"9,9%";"3,07%"
"2017/03/30";"1,393416";"4250348948";"0";"-12198195,82";"-0,29%";"4,19%";"12,15%";"14,94%";"9,29%";"9,97%";"3,1%"
"2017/03/29";"1,384718";"4235939415";"0";"-50441899,28";"-1,18%";"3,36%";"12,4%";"14,3%";"9,06%";"10,13%";"3,01%"
"2017/03/28";"1,375136";"4256720325";"0";"-375304,04";"-0,01%";"2,52%";"11,23%";"14,18%";"8,81%";"9,91%";"2,94%"
"2017/03/27";"1,368447";"4236388068";"0";"-222663,87";"-0,01%";"1,76%";"11,81%";"13,62%";"8,57%";"9,74%";"2,89%"
"2017/03/24";"1,372408";"4248873695";"0";"6142030,53";"0,14%";"1,84%";"11,23%";"13,83%";"8,95%";"9,63%";"2,89%"
"2017/03/23";"1,374608";"4249532856";"0";"-8957077,46";"-0,21%";"2%";"11,41%";"13,54%";"8,89%";"9,67%";"2,9%"
"2017/03/22";"1,367606";"4236797970";"0";"-2236542,9";"-0,05%";"1,41%";"10,03%";"13,23%";"8,71%";"9,5%";"2,94%"
"2017/03/21";"1,368948";"4243194179";"0";"-54601068,73";"-1,26%";"1,08%";"10,35%";"13,7%";"8,74%";"9,61%";"2,93%"
"2017/03/20";"1,383221";"4342605154";"0";"3930000,09";"0,09%";"1,48%";"12,41%";"14,72%";"9,18%";"9,73%";"3,18%"
"2017/03/17";"1,387556";"4352272516";"0";"2062041,92";"0,05%";"2,38%";"13,19%";"15,61%";"9,61%";"9,57%";"3,23%"
"2017/03/16";"1,39332";"4368281538";"0";"-1134206,1";"-0,03%";"2,8%";"13,66%";"15,08%";"9,94%";"9,66%";"3,28%"
"2017/03/14";"1,396167";"4378343863";"0";"-4455019,09";"-0,1%";"3,77%";"13,98%";"15,39%";"10,01%";"9,7%";"3,3%"
"2017/03/13";"1,398872";"4391290324";"0";"124039,81";"0%";"3,32%";"13,95%";"15,61%";"10,17%";"9,73%";"3,36%"
