"Letöltés idõpontja";"2017.04.21. 17:06"
"Alap neve:";"AEGON Pénzpiaci Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Egyéb pénzpiaci"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2002/09/03"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"0,17%"
"5 éves szórás:";"0,41%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"2,281358";"8564920885";"0";"-3595258,19";"-0,04%";"0,1%";"0,23%";"0,67%";"1,22%";"2,89%";"4,9%"
"2017/04/19";"2,281558";"8569267320";"0";"3913187,38";"0,05%";"0,11%";"0,25%";"0,69%";"1,22%";"2,89%";"4,91%"
"2017/04/18";"2,281726";"8565984833";"0";"66998210,39";"0,79%";"0,11%";"0,27%";"0,7%";"1,23%";"2,9%";"4,92%"
"2017/04/13";"2,281657";"8498729611";"0";"15881789,19";"0,19%";"0,12%";"0,27%";"0,73%";"1,24%";"2,92%";"4,92%"
"2017/04/12";"2,281617";"8482699108";"0";"-33019990,87";"-0,39%";"0,12%";"0,27%";"0,73%";"1,24%";"2,93%";"4,92%"
"2017/04/11";"2,281693";"8516002755";"0";"-5462187,51";"-0,06%";"0,12%";"0,28%";"0,74%";"1,24%";"2,94%";"4,93%"
"2017/04/10";"2,281771";"8521756250";"0";"-128323697,96";"-1,48%";"0,13%";"0,28%";"0,75%";"1,25%";"2,94%";"4,93%"
"2017/04/07";"2,28161";"8649469605";"0";"2978315,08";"0,03%";"0,12%";"0,28%";"0,75%";"1,25%";"2,94%";"4,93%"
"2017/04/06";"2,281272";"8645210390";"0";"25708770,29";"0,3%";"0,1%";"0,27%";"0,73%";"1,26%";"2,94%";"4,93%"
"2017/04/05";"2,278749";"8609968779";"0";"-3774043,72";"-0,04%";"-0,01%";"0,16%";"0,62%";"1,22%";"2,92%";"4,92%"
"2017/04/04";"2,278758";"8613776843";"0";"-21115755,5";"-0,24%";"-0,01%";"0,16%";"0,62%";"1,22%";"2,92%";"4,93%"
"2017/04/03";"2,278622";"8634377254";"0";"-34241680";"-0,39%";"-0,02%";"0,15%";"0,63%";"1,22%";"2,94%";"4,93%"
"2017/03/31";"2,278825";"8669391212";"0";"-15197124,01";"-0,17%";"-0,01%";"0,17%";"0,64%";"1,23%";"2,96%";"4,94%"
"2017/03/30";"2,278826";"8684592147";"0";"-20494660,54";"-0,24%";"-0,01%";"0,17%";"0,65%";"1,24%";"2,96%";"4,94%"
"2017/03/29";"2,278709";"8704639869";"0";"-7339650,78";"-0,08%";"-0,02%";"0,16%";"0,64%";"1,24%";"2,96%";"4,94%"
"2017/03/28";"2,278499";"8711176646";"0";"-21713421,4";"-0,25%";"-0,03%";"0,16%";"0,64%";"1,24%";"2,96%";"4,95%"
"2017/03/27";"2,278554";"8733100868";"0";"-2206879,9";"-0,03%";"-0,03%";"0,16%";"0,65%";"1,24%";"2,97%";"4,95%"
"2017/03/24";"2,278673";"8735763959";"0";"14949998,19";"0,17%";"-0,03%";"0,17%";"0,66%";"1,26%";"2,98%";"4,95%"
"2017/03/23";"2,278688";"8720871368";"0";"30576259,82";"0,35%";"-0,03%";"0,17%";"0,66%";"1,26%";"2,98%";"4,95%"
"2017/03/22";"2,278685";"8690283667";"0";"-17429793,18";"-0,2%";"-0,02%";"0,17%";"0,7%";"1,26%";"2,98%";"4,95%"
"2017/03/21";"2,278573";"8707285466";"0";"-83307422,21";"-0,95%";"-0,01%";"0,17%";"0,69%";"1,26%";"2,99%";"4,96%"
"2017/03/20";"2,278705";"8791102136";"0";"-190021,08";"-0%";"-0%";"0,18%";"0,71%";"1,27%";"2,99%";"4,96%"
"2017/03/17";"2,278654";"8791095398";"0";"5090416,6";"0,06%";"-0%";"0,18%";"0,71%";"1,27%";"3,01%";"4,98%"
"2017/03/16";"2,27867";"8786066674";"0";"-6175095,02";"-0,07%";"-0%";"0,18%";"0,71%";"1,28%";"3,01%";"4,98%"
"2017/03/14";"2,278676";"8792264920";"0";"-3461890,42";"-0,04%";"-0%";"0,19%";"0,72%";"1,28%";"3,01%";"4,98%"
