"Letöltés idõpontja";"2017.04.21. 17:35"
"Alap neve:";"AEGON Russia Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Feltörekvõ Európa/ Oroszország"
"Devizális kitettség:";"USD"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2008/12/04"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"18,86%"
"5 éves szórás:";"25,37%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"2,151947";"2660852194";"0";"-163283,06";"-0,01%";"-6,33%";"7,4%";"19,15%";"7,12%";"-0,71%";""
"2017/04/19";"2,175494";"2690132798";"0";"11269062,58";"0,42%";"-4,72%";"8,64%";"20,52%";"7,51%";"-0,41%";""
"2017/04/18";"2,195262";"2703205691";"0";"18534768,94";"0,69%";"-4,81%";"10,04%";"26,13%";"7,84%";"0,16%";""
"2017/04/13";"2,198266";"2688344630";"0";"6215926,65";"0,23%";"-5,53%";"10,71%";"20,28%";"7,17%";"-0,05%";""
"2017/04/12";"2,19865";"2682597226";"0";"1757638,23";"0,06%";"-7,07%";"9,94%";"23,87%";"7,18%";"-0,14%";""
"2017/04/11";"2,221743";"2708997152";"0";"10138788,55";"0,38%";"-6,6%";"11,22%";"26%";"7,55%";"0,04%";""
"2017/04/10";"2,217773";"2694035813";"0";"-1976182,29";"-0,07%";"-7,64%";"11,6%";"27,84%";"7,21%";"0,33%";""
"2017/04/07";"2,27182";"2761713652";"0";"3021606,72";"0,11%";"-4,87%";"14,73%";"34,92%";"7,91%";"0,31%";""
"2017/04/06";"2,321054";"2818477347";"0";"1099699,79";"0,04%";"-2,81%";"17,87%";"37,83%";"7,68%";"0,74%";""
"2017/04/05";"2,32723";"2824874295";"0";"-41101,89";"-0%";"-4,28%";"18,38%";"39,37%";"7,77%";"0,8%";""
"2017/04/04";"2,268181";"2753238584";"0";"2443450,65";"0,09%";"-8,09%";"13,51%";"32,63%";"6,85%";"0,55%";""
"2017/04/03";"2,257141";"2737406088";"0";"34486322,4";"1,29%";"-9,86%";"13,78%";"33,02%";"7,41%";"0,08%";""
"2017/03/31";"2,234713";"2676062301";"0";"4048041,48";"0,15%";"-7,11%";"13,04%";"28,17%";"6,71%";"0,39%";""
"2017/03/30";"2,259957";"2702198148";"0";"699760,1";"0,03%";"-6,06%";"14,31%";"29,08%";"8,03%";"0,61%";""
"2017/03/29";"2,226243";"2661197481";"0";"-5151965,5";"-0,2%";"-7,66%";"12,1%";"30,44%";"7,49%";"0,73%";""
"2017/03/28";"2,18849";"2621133048";"0";"460837,61";"0,02%";"-8,71%";"12,41%";"26,86%";"6,88%";"-0,04%";""
"2017/03/27";"2,171837";"2600730582";"0";"-534641,59";"-0,02%";"-7,38%";"12,71%";"25,9%";"6,46%";"-0,67%";""
