"Letöltés idõpontja";"2017.04.21. 17:08"
"Alap neve:";"AEGON Smart Money Befektetési Alapok Alapja"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";"Egyéb"
"Egyéb jellemzõ kitettség:";"Alapok alapja"
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Alapok alapja"
"Alap indulási dátuma:";"2009/09/15"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"1,19%"
"5 éves szórás:";"2,08%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,479865";"7311428725";"0";"-88137,33";"-0%";"0,92%";"1,74%";"2,85%";"2,68%";"5,21%";""
"2017/04/19";"1,480564";"7314970387";"0";"19713459,67";"0,27%";"0,99%";"1,85%";"2,87%";"2,7%";"5,24%";""
"2017/04/18";"1,481006";"7297434816";"0";"27006296,92";"0,37%";"1,05%";"2%";"2,82%";"2,71%";"5,26%";""
"2017/04/13";"1,480657";"7268715238";"0";"111423,93";"0%";"1,05%";"2,21%";"2,77%";"2,68%";"5,27%";""
"2017/04/12";"1,479973";"7265246031";"0";"-4753182,07";"-0,07%";"1,01%";"2,07%";"2,61%";"2,67%";"5,22%";""
"2017/04/11";"1,48092";"7274651115";"0";"-6842680,36";"-0,09%";"1,03%";"2,08%";"2,59%";"2,69%";"5,27%";""
"2017/04/10";"1,481071";"7282236243";"0";"-2295510,47";"-0,03%";"1,06%";"2,06%";"2,51%";"2,69%";"5,28%";""
"2017/04/07";"1,482201";"7290089570";"0";"1037487,3";"0,01%";"1,15%";"2,15%";"2,45%";"2,76%";"5,27%";""
"2017/04/06";"1,481916";"7287650532";"0";"-30545492,52";"-0,42%";"1,13%";"2,09%";"2,5%";"2,77%";"5,27%";""
"2017/04/05";"1,481007";"7313707079";"0";"-308232,73";"-0%";"1,08%";"2,03%";"2,46%";"2,75%";"5,25%";""
"2017/04/04";"1,479788";"7307995229";"0";"-2084256,07";"-0,03%";"1,03%";"1,92%";"2,39%";"2,72%";"5,24%";""
"2017/04/03";"1,478375";"7303099335";"0";"-11977022,9";"-0,16%";"0,99%";"1,81%";"2,34%";"2,71%";"5,2%";""
"2017/03/31";"1,476415";"7305378176";"0";"-16392668,11";"-0,22%";"0,96%";"1,79%";"2,24%";"2,77%";"5,17%";""
"2017/03/30";"1,475924";"7319335899";"0";"-1651880,42";"-0,02%";"0,93%";"1,75%";"2,22%";"2,75%";"5,17%";""
"2017/03/29";"1,474916";"7315987823";"0";"1440667,2";"0,02%";"0,89%";"1,62%";"2,22%";"2,73%";"5,16%";""
"2017/03/28";"1,473387";"7306964390";"0";"-5373067,33";"-0,07%";"0,82%";"1,51%";"2,07%";"2,7%";"5,11%";""
"2017/03/27";"1,472031";"7305607705";"0";"-270368,11";"-0%";"0,72%";"1,44%";"1,98%";"2,7%";"5,07%";""
"2017/03/24";"1,473039";"7310880906";"0";"18839149,68";"0,26%";"0,76%";"1,33%";"2,07%";"2,82%";"5,08%";""
"2017/03/23";"1,472914";"7291422964";"0";"25312448,43";"0,35%";"0,75%";"1,32%";"2,07%";"2,8%";"5,08%";""
