"Letöltés idõpontja";"2017.04.21. 17:31"
"Alap neve:";"AEGON Ázsia Részvény Befektetési Alapok Alapja"
"Befektetési sorozat megjelölése:";"A sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";"USD"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Alapok alapja"
"Alap indulási dátuma:";"2007/05/04"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"12,52%"
"5 éves szórás:";"14,07%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,586824";"2409164954";"0";"1046720,38";"0,04%";"8%";"8,24%";"18,85%";"11,57%";"8,08%";""
"2017/04/19";"1,578003";"2394731739";"0";"3033662,17";"0,13%";"7,64%";"7,9%";"16,9%";"11,36%";"7,88%";""
"2017/04/18";"1,592238";"2413273335";"0";"7893388,94";"0,33%";"8,74%";"9,35%";"18,64%";"11,7%";"8,03%";""
"2017/04/13";"1,60173";"2419719427";"0";"3531933,4";"0,15%";"8,79%";"11,46%";"19,6%";"12,21%";"8,29%";""
"2017/04/12";"1,603288";"2418537715";"0";"-1628354,3";"-0,07%";"8,84%";"11,11%";"22,62%";"12,25%";"8,14%";""
"2017/04/11";"1,600856";"2416494961";"0";"7532277,53";"0,31%";"7,3%";"12,08%";"22,92%";"12,19%";"8,38%";""
"2017/04/10";"1,60312";"2412369543";"0";"2169303,83";"0,09%";"9,06%";"10,62%";"23,81%";"12,01%";"8,81%";""
"2017/04/07";"1,603291";"2410457328";"0";"6567117,73";"0,27%";"10,56%";"10,8%";"25,39%";"12,06%";"8,24%";""
"2017/04/06";"1,601117";"2400630629";"0";"-1700422,58";"-0,07%";"10,41%";"10,49%";"22,95%";"11,68%";"8,22%";""
"2017/04/05";"1,598236";"2398008372";"0";"2681704,01";"0,11%";"8,15%";"10,24%";"23,98%";"11,62%";"8,18%";""
"2017/04/04";"1,59599";"2391960517";"0";"6306231,97";"0,26%";"8,74%";"9,97%";"21,79%";"11,56%";"8,48%";""
"2017/04/03";"1,596568";"2386518268";"0";"-2035274,53";"-0,09%";"9,11%";"9,94%";"21,27%";"11,6%";"8,43%";""
"2017/03/31";"1,582668";"2367758378";"0";"4157529,67";"0,17%";"10,33%";"8,72%";"18,56%";"11,78%";"8,36%";""
"2017/03/30";"1,591357";"2376577245";"0";"-971954,47";"-0,04%";"10,93%";"9,32%";"18,81%";"11,76%";"8,48%";""
"2017/03/29";"1,588257";"2372917679";"0";"36366538,31";"1,57%";"10,02%";"9,89%";"18,73%";"11,69%";"8,78%";""
"2017/03/28";"1,575382";"2317610191";"0";"-1288501,06";"-0,06%";"9,91%";"8,08%";"18,67%";"11,39%";"8,37%";""
"2017/03/27";"1,571198";"2312740013";"0";"6535467,92";"0,28%";"9,94%";"8,86%";"18,35%";"11,39%";"8,22%";""
"2017/03/24";"1,577956";"2316123938";"0";"3324855,71";"0,14%";"10,29%";"8,9%";"18,75%";"11,94%";"8,13%";""
"2017/03/23";"1,578084";"2312986691";"0";"4933022,65";"0,21%";"10,3%";"8,91%";"18,93%";"12,25%";"8,13%";""
"2017/03/22";"1,571957";"2299092520";"0";"21217684,4";"0,93%";"9,82%";"7,49%";"18,01%";"12,1%";"7,97%";""
"2017/03/21";"1,568002";"2272143766";"0";"4299524,51";"0,19%";"7,95%";"6,73%";"18,51%";"12,01%";"8,07%";""
"2017/03/20";"1,585362";"2292952485";"0";"9071619";"0,4%";"8,26%";"10%";"19,95%";"12,64%";"8,27%";""
"2017/03/17";"1,573503";"2266796728";"0";"5394830,48";"0,24%";"7,18%";"10,31%";"20%";"12,01%";"7,41%";""
"2017/03/16";"1,585275";"2278320342";"0";"2957118,35";"0,13%";"7,98%";"11,13%";"20,13%";"12,4%";"7,57%";""
"2017/03/14";"1,570162";"2253671363";"0";"3033737,85";"0,13%";"6,91%";"10,7%";"19,56%";"12,04%";"7,36%";""
"2017/03/13";"1,569244";"2249321783";"0";"1918717,81";"0,09%";"5,14%";"10,9%";"19,49%";"12,29%";"7,12%";""
"2017/03/10";"1,555464";"2227667948";"0";"-4215799,12";"-0,19%";"3,99%";"8,67%";"19,41%";"11,16%";"7,27%";""
"2017/03/09";"1,546264";"2218682972";"0";"969792,22";"0,04%";"3,38%";"8,03%";"18,55%";"10,94%";"7,14%";""
"2017/03/08";"1,553024";"2227408640";"0";"3694036,33";"0,17%";"5,33%";"6,22%";"19,89%";"11,1%";"7,38%";""
"2017/03/07";"1,553216";"2223989521";"0";"-512756,4";"-0,02%";"5,47%";"5,64%";"18,3%";"11,11%";"7,58%";""
"2017/03/06";"1,544631";"2212206916";"0";"-7142684,77";"-0,32%";"5,79%";"4,15%";"16,84%";"10,39%";"7,72%";""
"2017/03/03";"1,556455";"2236338506";"0";"-788966,64";"-0,04%";"6%";"6,98%";"18,81%";"11,23%";"7,52%";""
"2017/03/02";"1,546608";"2222974160";"0";"5980880,43";"0,27%";"5,33%";"6,3%";"18,68%";"10,78%";"7,38%";""
"2017/03/01";"1,56046";"2236849501";"0";"5056893,36";"0,23%";"5,99%";"8,16%";"21,6%";"11,11%";"7,65%";""
"2017/02/28";"1,542583";"2206224662";"0";"32141488,84";"1,47%";"6,21%";"8,96%";"24,55%";"10,69%";"7,56%";""
"2017/02/27";"1,548917";"2183010176";"0";"6312686,19";"0,29%";"6,6%";"9,41%";"25,06%";"10,54%";"7,74%";""
"2017/02/24";"1,554019";"2183867345";"0";"6334473,06";"0,29%";"7,2%";"9,47%";"25,41%";"11,4%";"7,79%";""
"2017/02/23";"1,566566";"2195114063";"0";"15611323,53";"0,72%";"8,79%";"10,3%";"27,36%";"11,55%";"7,98%";""
"2017/02/22";"1,56604";"2178770936";"0";"4410503,13";"0,2%";"8,87%";"10,37%";"25,92%";"11,54%";"7,85%";""
"2017/02/21";"1,558099";"2163334791";"0";"8655649,96";"0,41%";"9%";"9,04%";"26,75%";"11,35%";"7,8%";""
"2017/02/20";"1,540947";"2130959816";"0";"3677882,96";"0,17%";"7,33%";"7,84%";"25,35%";"10,91%";"7,36%";""
"2017/02/17";"1,533563";"2117088299";"0";"2963832,33";"0,14%";"7,8%";"6,96%";"24,66%";"11,1%";"7,04%";""
"2017/02/16";"1,539297";"2122029189";"0";"-842125,49";"-0,04%";"8,29%";"6,87%";"26,73%";"11,32%";"6,74%";""
"2017/02/15";"1,555499";"2145215775";"0";"1509412,64";"0,07%";"9,87%";"6,83%";"30,88%";"11,71%";"7,53%";""
"2017/02/14";"1,536891";"2118061802";"0";"-2247656,02";"-0,11%";"9,18%";"6,06%";"31,05%";"11,26%";"7,43%";""
"2017/02/13";"1,536238";"2119408573";"0";"5185273,07";"0,25%";"9,42%";"6,01%";"30,99%";"11,18%";"7,46%";""
"2017/02/10";"1,530991";"2107002199";"0";"-5880880,43";"-0,28%";"8,55%";"6,25%";"28,5%";"11,77%";"7,53%";""
"2017/02/09";"1,518724";"2095953694";"0";"19188497,21";"0,92%";"8,75%";"4,79%";"26,82%";"11,26%";"7,04%";""
"2017/02/08";"1,522717";"2082225388";"0";"3029744,35";"0,15%";"6,02%";"5,32%";"26,28%";"11,35%";"7,19%";""
"2017/02/07";"1,514505";"2067982559";"0";"492613,38";"0,02%";"6,27%";"5,84%";"24,48%";"11,15%";"7,05%";""
"2017/02/06";"1,504521";"2053860529";"0";"-16905248,78";"-0,82%";"7,5%";"5,14%";"23,66%";"11,15%";"6,56%";""
"2017/02/03";"1,501407";"2066479786";"0";"2816280,62";"0,14%";"6,1%";"7,17%";"20,12%";"11,08%";"6,61%";""
"2017/02/02";"1,483822";"2039493162";"0";"20497,07";"0%";"4,35%";"5,21%";"19,16%";"10,22%";"6,51%";""
"2017/02/01";"1,494855";"2054637221";"0";"-1487624,17";"-0,07%";"2,09%";"4,89%";"17,14%";"10,49%";"6,78%";""
"2017/01/31";"1,502504";"2066645798";"0";"8931917,77";"0,43%";"2,61%";"5,12%";"17%";"10,68%";"7,2%";""
"2017/01/30";"1,504987";"2061114406";"0";"7619854,33";"0,37%";"2,78%";"5,3%";"17,2%";"10,6%";"7,21%";""
"2017/01/27";"1,510003";"2060338683";"0";"-13467582,25";"-0,65%";"2,74%";"4,61%";"20,31%";"12,01%";"7,02%";""
"2017/01/26";"1,501103";"2061583193";"0";"-1849250,9";"-0,09%";"1,77%";"4,51%";"19,23%";"11,47%";"7,08%";""
"2017/01/25";"1,494373";"2054181313";"0";"2071387,68";"0,1%";"0,64%";"4,57%";"19,11%";"11,3%";"6,43%";""
"2017/01/24";"1,48463";"2038730597";"0";"3640207,61";"0,18%";"-0,17%";"3,55%";"17,31%";"11,06%";"6,27%";""
"2017/01/23";"1,475218";"2022188676";"0";"8778547,08";"0,44%";"-0,29%";"2,89%";"16,57%";"10,2%";"5,89%";""
"2017/01/20";"1,469321";"2005361773";"0";"-5247691,67";"-0,26%";"0,22%";"2,16%";"19,36%";"9,47%";"5,77%";""
"2017/01/19";"1,466047";"2006129344";"0";"4227806";"0,21%";"0,24%";"3,06%";"15,63%";"9,61%";"5,96%";""
"2017/01/18";"1,464311";"1999531013";"0";"-6606278,93";"-0,33%";"0,56%";"1,95%";"17,38%";"9,56%";"5,8%";""
"2017/01/17";"1,467832";"2010961137";"0";"-10679900,55";"-0,52%";"2%";"3,7%";"17,73%";"9,65%";"5,75%";""
"2017/01/16";"1,477595";"2035087591";"0";"-14064923,51";"-0,69%";"3%";"4,39%";"18,51%";"9,94%";"6,14%";""
"2017/01/13";"1,472329";"2041849541";"0";"-5562065,48";"-0,27%";"2,46%";"4,59%";"13,95%";"10,24%";"6,36%";""
"2017/01/12";"1,473086";"2048464286";"0";"272150,92";"0,01%";"2,08%";"5,16%";"13%";"9,98%";"6,15%";""
"2017/01/11";"1,491931";"2074394394";"0";"-1755116,62";"-0,09%";"4,46%";"6,72%";"15,29%";"10,45%";"6,51%";""
"2017/01/10";"1,4699";"2045491491";"0";"577238,5";"0,03%";"1,43%";"6,43%";"13,66%";"9,91%";"6%";""
"2017/01/09";"1,465073";"2038198965";"0";"1925563,19";"0,1%";"1,24%";"6,08%";"13,29%";"9,96%";"6,3%";""
