"Letöltés idõpontja";"2017.04.21. 17:04"
"Alap neve:";"AEGON ÓZON Éves Tõkevédett Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Tõkevédett"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";"Kötvényjellegû"
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2007/03/20"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"0,19%"
"5 éves szórás:";"0,86%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,638427";"3777613316";"0";"-15566037,11";"-0,41%";"0,2%";"0,48%";"1,07%";"1,95%";"3,51%";"5,04%"
"2017/04/19";"1,638441";"3793211765";"0";"-99160,34";"-0%";"0,21%";"0,49%";"1,07%";"1,95%";"3,52%";"5,05%"
"2017/04/18";"1,638429";"3793283143";"0";"-13743203,58";"-0,36%";"0,2%";"0,51%";"1,08%";"1,95%";"3,52%";"5,07%"
"2017/04/13";"1,638368";"3806884608";"0";"-893996,22";"-0,02%";"0,22%";"0,52%";"1,1%";"1,97%";"3,54%";"5%"
"2017/04/12";"1,63825";"3807504357";"0";"-2868765,04";"-0,08%";"0,21%";"0,52%";"1,1%";"1,97%";"3,53%";"5,01%"
"2017/04/11";"1,638242";"3810354515";"0";"-4941292,18";"-0,13%";"0,21%";"0,52%";"1,11%";"1,97%";"3,54%";"5,02%"
"2017/04/10";"1,638263";"3815344714";"0";"-6383713,82";"-0,17%";"0,22%";"0,53%";"1,12%";"1,98%";"3,53%";"5,02%"
"2017/04/07";"1,63818";"3821534806";"0";"-1699086,73";"-0,04%";"0,21%";"0,53%";"1,11%";"1,98%";"3,49%";"5,02%"
"2017/04/06";"1,638096";"3823037851";"0";"-15783486,03";"-0,41%";"0,21%";"0,52%";"1,12%";"1,98%";"3,49%";"5,02%"
"2017/04/05";"1,637475";"3837366045";"0";"-65217271,56";"-1,67%";"0,16%";"0,48%";"1,08%";"1,97%";"3,49%";"5,02%"
"2017/04/04";"1,637439";"3902497518";"0";"-22603241,03";"-0,58%";"0,16%";"0,49%";"1,08%";"1,97%";"3,51%";"5,03%"
"2017/04/03";"1,63749";"3925223011";"0";"-3971847,07";"-0,1%";"0,15%";"0,49%";"1,1%";"1,97%";"3,5%";"5,03%"
"2017/03/31";"1,637465";"3929134870";"0";"-2248038,77";"-0,06%";"0,16%";"0,49%";"1,09%";"2%";"3,5%";"5,03%"
"2017/03/30";"1,637434";"3931308481";"0";"-4052454,25";"-0,1%";"0,15%";"0,49%";"1,09%";"2,01%";"3,5%";"5,03%"
"2017/03/29";"1,637258";"3934937942";"0";"-14787893,94";"-0,37%";"0,14%";"0,47%";"1,08%";"2,01%";"3,49%";"5,03%"
"2017/03/28";"1,637139";"3949438760";"0";"-19956692,23";"-0,5%";"0,13%";"0,47%";"1,09%";"2,01%";"3,48%";"5,01%"
"2017/03/27";"1,637115";"3969337262";"0";"-20772998,12";"-0,52%";"0,13%";"0,47%";"1,09%";"2,01%";"3,48%";"5,02%"
"2017/03/24";"1,637143";"3990178504";"0";"-10692593,63";"-0,27%";"0,13%";"0,49%";"1,09%";"2,01%";"3,46%";"5,02%"
"2017/03/23";"1,637141";"4000866210";"0";"-5027329,37";"-0,13%";"0,12%";"0,49%";"1,1%";"2,02%";"3,46%";"5,02%"
"2017/03/22";"1,637995";"4007983178";"0";"-26789982,23";"-0,66%";"0,18%";"0,54%";"1,26%";"2,04%";"3,48%";"5,03%"
"2017/03/21";"1,637948";"4034657388";"0";"-9505473,01";"-0,24%";"0,2%";"0,54%";"1,27%";"2,04%";"3,49%";"5,04%"
"2017/03/20";"1,637924";"4044103604";"0";"-3388978,78";"-0,08%";"0,21%";"0,54%";"1,26%";"2,04%";"3,5%";"5,04%"
"2017/03/17";"1,636974";"4045145027";"0";"-20773538,24";"-0,51%";"0,13%";"0,5%";"1,2%";"2,03%";"3,53%";""
"2017/03/16";"1,63695";"4065858954";"0";"-3996072,62";"-0,1%";"0,13%";"0,5%";"1,2%";"2,07%";"3,52%";""
"2017/03/14";"1,636898";"4069725742";"0";"-3390234,3";"-0,08%";"0,14%";"0,51%";"1,18%";"2,07%";"3,52%";""
"2017/03/13";"1,636862";"4073026397";"0";"-2075783,91";"-0,05%";"0,14%";"0,52%";"1,18%";"2,07%";"3,53%";""
"2017/03/10";"1,636735";"4074786004";"0";"-1111444,13";"-0,03%";"0,16%";"0,5%";"1,17%";"2,07%";"3,54%";""
"2017/03/09";"1,636746";"4075924841";"0";"-16038820,12";"-0,39%";"0,17%";"0,5%";"1,18%";"2,08%";"3,54%";""
"2017/03/08";"1,636744";"4091958661";"0";"-11381992,01";"-0,28%";"0,17%";"0,5%";"1,19%";"2,08%";"3,55%";""
"2017/03/07";"1,636743";"4103338146";"0";"-1822045,53";"-0,04%";"0,18%";"0,5%";"1,18%";"2,08%";"3,56%";""
"2017/03/06";"1,636582";"4104756383";"0";"-1145414,58";"-0,03%";"0,18%";"0,49%";"1,14%";"2,08%";"3,56%";""
"2017/03/03";"1,636313";"4105226923";"0";"-2023407,83";"-0,05%";"0,19%";"0,47%";"1,12%";"2,08%";"3,52%";""
"2017/03/02";"1,6363";"4107217700";"0";"-8364668,22";"-0,2%";"0,19%";"0,47%";"1,13%";"2,08%";"3,52%";""
"2017/03/01";"1,63606";"4114978726";"0";"-10543540,34";"-0,26%";"0,17%";"0,45%";"1,1%";"2,08%";"3,5%";""
"2017/02/28";"1,635916";"4125159153";"0";"-1061053,33";"-0,03%";"0,18%";"0,46%";"1,1%";"2,07%";"3,53%";""
"2017/02/27";"1,635859";"4126076437";"0";"-9444897,64";"-0,23%";"0,19%";"0,45%";"1,1%";"2,08%";"3,54%";""
"2017/02/24";"1,635797";"4135364596";"0";"3473419,19";"0,08%";"0,18%";"0,43%";"1,09%";"2,08%";"3,55%";""
"2017/02/23";"1,635807";"4131916436";"0";"1814755,51";"0,04%";"0,19%";"0,43%";"1,12%";"2,09%";"3,58%";""
"2017/02/22";"1,635757";"4129975440";"0";"-7467035,48";"-0,18%";"0,19%";"0,43%";"1,13%";"2,08%";"3,59%";""
"2017/02/21";"1,635673";"4137230008";"0";"1426,42";"0%";"0,19%";"0,42%";"1,12%";"2,08%";"3,58%";""
"2017/02/20";"1,635634";"4137129936";"0";"-6439054,75";"-0,16%";"0,19%";"0,42%";"1,12%";"2,08%";"3,59%";""
"2017/02/17";"1,636034";"4144582315";"0";"-3410389,27";"-0,08%";"0,24%";"0,45%";"1,16%";"2,08%";"3,61%";""
"2017/02/16";"1,636008";"4147926784";"0";"-6124133,25";"-0,15%";"0,24%";"0,46%";"1,19%";"2,09%";"3,66%";""
"2017/02/15";"1,635999";"4154028065";"0";"34754791";"0,84%";"0,25%";"0,45%";"1,22%";"2,09%";"3,65%";""
"2017/02/14";"1,635961";"4119177594";"0";"-26364373,67";"-0,64%";"0,25%";"0,45%";"1,32%";"2,09%";"3,68%";""
"2017/02/13";"1,635896";"4145377257";"0";"-9322401,4";"-0,22%";"0,26%";"0,45%";"1,32%";"2,12%";"3,67%";""
"2017/02/10";"1,635784";"4154415211";"0";"-522930,54";"-0,01%";"0,25%";"0,5%";"1,3%";"2,12%";"3,7%";""
"2017/02/09";"1,63573";"4154800980";"0";"-869297,48";"-0,02%";"0,24%";"0,5%";"1,3%";"2,16%";"3,67%";""
"2017/02/08";"1,635722";"4155649953";"0";"-24687123,66";"-0,59%";"0,24%";"0,51%";"1,3%";"2,16%";"3,64%";""
"2017/02/07";"1,635698";"4180275741";"0";"-6142245,31";"-0,15%";"0,24%";"0,5%";"1,31%";"2,16%";"3,66%";""
"2017/02/06";"1,635631";"4186246506";"0";"-4012848,68";"-0,1%";"0,24%";"0,5%";"1,3%";"2,17%";"3,66%";""
"2017/02/03";"1,63542";"4189718802";"0";"-1933384,86";"-0,05%";"0,22%";"0,51%";"1,24%";"2,17%";"3,69%";""
"2017/02/02";"1,635377";"4191541976";"0";"-1987206,91";"-0,05%";"0,22%";"0,5%";"1,21%";"2,16%";"3,71%";""
"2017/02/01";"1,635447";"4193708681";"0";"0,04";"0%";"0,23%";"0,51%";"1,2%";"2,17%";"3,73%";""
"2017/01/31";"1,635362";"4193490719";"0";"4993,83";"0%";"0,22%";"0,5%";"1,19%";"2,16%";"3,78%";""
"2017/01/30";"1,63533";"4193403669";"0";"-18757144,75";"-0,45%";"0,22%";"0,5%";"1,19%";"2,17%";"3,8%";""
"2017/01/27";"1,63534";"4212186571";"0";"-8507429,3";"-0,2%";"0,23%";"0,5%";"1,18%";"2,17%";"3,78%";""
"2017/01/26";"1,635289";"4220562373";"0";"-3681246,54";"-0,09%";"0,22%";"0,51%";"1,19%";"2,16%";"3,79%";""
"2017/01/25";"1,63523";"4224091212";"0";"3762995,64";"0,09%";"0,22%";"0,52%";"1,18%";"2,16%";"3,83%";""
"2017/01/24";"1,635184";"4220209496";"0";"1183044,39";"0,03%";"0,25%";"0,52%";"1,19%";"2,16%";"3,88%";""
"2017/01/23";"1,635258";"4219217383";"0";"-747805,51";"-0,02%";"0,27%";"0,53%";"1,2%";"2,16%";"3,91%";""
"2017/01/20";"1,635177";"4219756159";"0";"-5685902,11";"-0,13%";"0,28%";"0,53%";"1,18%";"2,18%";"3,93%";""
"2017/01/19";"1,635074";"4225175900";"0";"-198617,9";"-0%";"0,29%";"0,54%";"1,18%";"2,18%";"3,92%";""
"2017/01/18";"1,635084";"4225400360";"0";"-11388828,9";"-0,27%";"0,3%";"0,56%";"1,17%";"2,18%";"3,96%";""
"2017/01/17";"1,634902";"4236317595";"0";"-1695754,82";"-0,04%";"0,32%";"0,57%";"1,16%";"2,17%";"3,99%";""
"2017/01/16";"1,634884";"4237966690";"0";"32790979,7";"0,78%";"0,32%";"0,57%";"1,16%";"2,18%";"3,99%";""
"2017/01/13";"1,634837";"4205054819";"0";"-32969807,52";"-0,78%";"0,3%";"0,6%";"1,14%";"2,19%";"3,97%";""
"2017/01/12";"1,634854";"4238068696";"0";"-510074,1";"-0,01%";"0,31%";"0,63%";"1,27%";"2,19%";"3,95%";""
"2017/01/11";"1,634764";"4238345433";"0";"-4784934,67";"-0,11%";"0,31%";"0,67%";"1,25%";"2,19%";"3,98%";""
"2017/01/10";"1,634745";"4243081052";"0";"-7749318,87";"-0,18%";"0,31%";"0,68%";"1,26%";"2,19%";"4,02%";""
