"Letöltés idõpontja";"2017.04.21. 17:12"
"Alap neve:";"Aegon BondMaxx Abszolút Hozamú Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";"A sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Szabad futamidejû"
"Földrajzi kitettség:";"Közép-Kelet-Európa"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"UCITS (európai) alap"
"Alap indulási dátuma:";"2010/12/17"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Citibank Europe plc Magyarországi Fióktelepe"
"1 éves szórás:";"0,75%"
"5 éves szórás:";"1,47%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,533737";"6558372729";"0";"-998941,79";"-0,02%";"0,51%";"0,51%";"2,33%";"3,18%";"6,76%";""
"2017/04/19";"1,534555";"6562870032";"0";"-11987958,14";"-0,18%";"0,56%";"0,59%";"2,41%";"3,2%";"6,78%";""
"2017/04/18";"1,534914";"6576396139";"0";"-1986587,06";"-0,03%";"0,56%";"0,65%";"2,48%";"3,21%";"6,8%";""
"2017/04/13";"1,534054";"6574696911";"0";"-11605767,51";"-0,18%";"0,54%";"0,64%";"2,47%";"3,21%";"6,82%";""
"2017/04/12";"1,533831";"6585345251";"0";"-5207488,42";"-0,08%";"0,53%";"0,64%";"2,47%";"3,21%";"6,82%";""
"2017/04/11";"1,533684";"6589921111";"0";"-18672167,44";"-0,28%";"0,52%";"0,61%";"2,47%";"3,2%";"6,81%";""
"2017/04/10";"1,533397";"6607356605";"0";"-5062643,34";"-0,08%";"0,5%";"0,59%";"2,5%";"3,2%";"6,82%";""
"2017/04/07";"1,532941";"6610452854";"0";"-6385126,72";"-0,1%";"0,5%";"0,56%";"2,46%";"3,24%";"6,83%";""
"2017/04/06";"1,532395";"6614481208";"0";"-7293776,47";"-0,11%";"0,46%";"0,5%";"2,44%";"3,25%";"6,82%";""
"2017/04/05";"1,53172";"6618858179";"0";"-9329560,36";"-0,14%";"0,41%";"0,42%";"2,44%";"3,23%";"6,83%";""
