"Letöltés idõpontja";"2017.04.21. 17:15"
"Alap neve:";"Aegon Maraton Aktív Vegyes Befektetési Alap"
"Befektetési sorozat megjelölése:";"A sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2015/07/08"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"Raiffeisen Bank Zrt."
"1 éves szórás:";"3,48%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,080369";"2670987841";"0";"41205830,64";"1,57%";"1,68%";"5,55%";"7,38%";"";"";""
"2017/04/19";"1,081138";"2631653873";"0";"23164026,83";"0,89%";"1,79%";"5,71%";"7,39%";"";"";""
"2017/04/18";"1,081814";"2610120849";"0";"4838860,29";"0,19%";"1,95%";"6,16%";"7,45%";"";"";""
"2017/04/13";"1,0808";"2602840020";"0";"3388349,71";"0,13%";"1,83%";"6,84%";"7,21%";"";"";""
"2017/04/12";"1,080061";"2597674288";"0";"17005057,52";"0,66%";"1,74%";"6,35%";"7,08%";"";"";""
"2017/04/11";"1,081821";"2584874528";"0";"17286200,6";"0,67%";"1,68%";"6,34%";"7,06%";"";"";""
"2017/04/10";"1,082205";"2568499711";"0";"312847226,33";"13,83%";"1,85%";"6,3%";"7,01%";"";"";""
"2017/04/07";"1,085479";"2262476521";"0";"-2986819,3";"-0,13%";"2,25%";"6,69%";"7,16%";"";"";""
"2017/04/06";"1,085332";"2265156542";"0";"10424007,66";"0,46%";"2,23%";"6,53%";"7,01%";"";"";""
"2017/04/05";"1,084211";"2252403703";"0";"12820051,46";"0,57%";"2,14%";"6,47%";"6,98%";"";"";""
"2017/04/04";"1,080932";"2232810436";"0";"16098843,93";"0,73%";"1,95%";"6,12%";"6,62%";"";"";""
"2017/04/03";"1,078017";"2210733682";"0";"23740182,2";"1,09%";"1,82%";"5,86%";"6,27%";"";"";""
"2017/03/31";"1,075049";"2180972262";"0";"12553286,38";"0,58%";"1,9%";"6,21%";"5,9%";"";"";""
"2017/03/30";"1,075463";"2169254031";"0";"7341843,67";"0,34%";"1,94%";"6,25%";"6%";"";"";""
"2017/03/29";"1,074096";"2159164223";"0";"14934643,52";"0,7%";"1,93%";"5,91%";"5,87%";"";"";""
"2017/03/28";"1,071663";"2139372555";"0";"440842,1";"0,02%";"1,81%";"5,63%";"5,57%";"";"";""
