"Letöltés idõpontja";"2017.04.21. 17:17"
"Alap neve:";"Aegon Tempó Allegro 10 Alapokba Fektetõ Részalap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Dinamikus"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Alapok alapja"
"Alap indulási dátuma:";"2014/10/27"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"5,31%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,120307";"170860729";"0";"-1918714,67";"-1,11%";"4,21%";"9,08%";"10,08%";"";"";""
"2017/04/19";"1,119802";"172701560";"0";"2974273,74";"1,75%";"4,35%";"9,27%";"9,85%";"";"";""
"2017/04/18";"1,120088";"169770635";"0";"360992,22";"0,21%";"4,43%";"9,59%";"10,06%";"";"";""
"2017/04/13";"1,120936";"169537900";"0";"239939,05";"0,14%";"4,32%";"10,42%";"10,34%";"";"";""
"2017/04/12";"1,120754";"169270473";"0";"306955,46";"0,18%";"4,28%";"10,04%";"11,03%";"";"";""
"2017/04/11";"1,122626";"169245738";"0";"256824,56";"0,15%";"3,81%";"10,39%";"11,22%";"";"";""
"2017/04/10";"1,123261";"169084500";"0";"232390,98";"0,14%";"4,18%";"10,2%";"11,29%";"";"";""
"2017/04/07";"1,12323";"168847449";"0";"567065,86";"0,34%";"4,41%";"10,39%";"11,54%";"";"";""
"2017/04/06";"1,121778";"168062847";"0";"698091,26";"0,42%";"4,28%";"10,03%";"10,98%";"";"";""
"2017/04/05";"1,118886";"166933281";"0";"796491,6";"0,48%";"3,69%";"9,67%";"10,83%";"";"";""
