"Letöltés idõpontja";"2017.04.21. 17:13"
"Alap neve:";"Aegon Tempó Andante 2 Alapokba Fektetõ Részalap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Óvatos"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Alapok alapja"
"Alap indulási dátuma:";"2014/10/27"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"1,62%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,082957";"88480203";"0";"-654,21";"-0%";"1,11%";"1,38%";"2,64%";"";"";""
"2017/04/19";"1,083318";"88510352";"0";"254003,16";"0,29%";"1,12%";"1,52%";"2,68%";"";"";""
"2017/04/18";"1,083297";"88254638";"0";"162858,4";"0,18%";"1,12%";"1,62%";"2,75%";"";"";""
"2017/04/13";"1,083094";"88075272";"0";"97933,48";"0,11%";"1,05%";"1,78%";"2,8%";"";"";""
"2017/04/12";"1,082442";"87924378";"0";"64227,97";"0,07%";"0,99%";"1,68%";"2,92%";"";"";""
"2017/04/11";"1,082703";"87881335";"0";"497370,05";"0,57%";"0,98%";"1,68%";"2,95%";"";"";""
"2017/04/10";"1,08272";"87385337";"0";"6043608,76";"7,43%";"1,08%";"1,62%";"3,03%";"";"";""
"2017/04/07";"1,082553";"81329182";"0";"301,03";"0%";"0,91%";"1,59%";"2,97%";"";"";""
"2017/04/06";"1,082309";"81310550";"0";"123309,42";"0,15%";"0,88%";"1,47%";"2,9%";"";"";""
"2017/04/05";"1,081495";"81126180";"0";"-66998,19";"-0,08%";"0,72%";"1,37%";"2,82%";"";"";""
"2017/04/04";"1,081279";"81176962";"0";"404630,03";"0,5%";"0,71%";"1,28%";"2,69%";"";"";""
"2017/04/03";"1,081182";"80765086";"0";"143747,52";"0,18%";"0,71%";"1,3%";"2,7%";"";"";""
"2017/03/31";"1,080061";"80537748";"0";"23407,26";"0,03%";"0,66%";"1,21%";"2,53%";"";"";""
