"Letöltés idõpontja";"2017.04.21. 17:19"
"Alap neve:";"Aegon Tempó Moderato 6 Alapokba Fektetõ Részalap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Kiegyensúlyozott"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Alapok alapja"
"Alap indulási dátuma:";"2014/10/27"
"Alapkezelõ:";"AEGON Magyarország Befektetési Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"3,15%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/04/20";"1,117365";"131584360";"0";"1065023,01";"0,82%";"2,73%";"4,93%";"6,31%";"";"";""
"2017/04/19";"1,117265";"130507656";"0";"1133830,95";"0,88%";"2,79%";"5,1%";"6,23%";"";"";""
"2017/04/18";"1,117358";"129384594";"0";"1069070,42";"0,83%";"2,83%";"5,29%";"6,38%";"";"";""
"2017/04/13";"1,117776";"128363526";"0";"669058,32";"0,52%";"2,74%";"5,78%";"6,56%";"";"";""
"2017/04/12";"1,117256";"127635063";"0";"-440274,28";"-0,34%";"2,68%";"5,55%";"6,97%";"";"";""
"2017/04/11";"1,1183";"128195015";"0";"-2980494,82";"-2,27%";"2,47%";"5,72%";"7,09%";"";"";""
"2017/04/10";"1,118635";"131214805";"0";"569802,58";"0,44%";"2,71%";"5,59%";"7,16%";"";"";""
"2017/04/07";"1,118366";"130613586";"0";"870748,49";"0,67%";"2,69%";"5,64%";"7,23%";"";"";""
"2017/04/06";"1,117507";"129643184";"0";"720687,54";"0,56%";"2,61%";"5,39%";"6,93%";"";"";""
"2017/04/05";"1,115635";"128706531";"0";"56205,06";"0,04%";"2,24%";"5,17%";"6,8%";"";"";""
"2017/04/04";"1,114321";"128498801";"0";"405546,6";"0,32%";"2,07%";"4,9%";"6,36%";"";"";""
"2017/04/03";"1,113561";"128005891";"0";"700538,96";"0,55%";"2,03%";"4,95%";"6,35%";"";"";""
"2017/03/31";"1,111014";"127014172";"0";"423678,84";"0,33%";"2,23%";"4,72%";"5,92%";"";"";""
"2017/03/30";"1,112638";"126775534";"0";"600467,95";"0,48%";"2,38%";"4,87%";"6%";"";"";""
"2017/03/29";"1,110751";"125961077";"0";"79785,12";"0,06%";"2,23%";"4,72%";"6%";"";"";""
"2017/03/28";"1,107905";"125558755";"0";"214995,56";"0,17%";"2,02%";"4,47%";"5,86%";"";"";""
"2017/03/27";"1,105973";"125125181";"0";"212752,28";"0,17%";"1,83%";"4,47%";"5,68%";"";"";""
"2017/03/24";"1,106994";"125027744";"0";"62007,97";"0,05%";"1,88%";"4,24%";"5,78%";"";"";""
"2017/03/23";"1,10647";"124906583";"0";"452077,09";"0,36%";"1,83%";"4,2%";"5,73%";"";"";""
"2017/03/22";"1,103672";"124139790";"0";"218900,31";"0,18%";"1,49%";"3,71%";"5,59%";"";"";""
"2017/03/21";"1,105049";"124075500";"0";"431029,82";"0,35%";"1,58%";"4%";"5,74%";"";"";""
"2017/03/20";"1,10779";"123951162";"0";"-1375558,55";"-1,1%";"1,76%";"4,52%";"5,97%";"";"";""
"2017/03/17";"1,107801";"125327965";"0";"1497673,16";"1,21%";"2%";"4,9%";"6,21%";"";"";""
"2017/03/16";"1,108624";"123922287";"0";"841359,44";"0,68%";"2,08%";"4,97%";"6,35%";"";"";""
"2017/03/14";"1,107239";"122927163";"0";"3229,04";"0%";"2,08%";"4,89%";"6,28%";"";"";""
"2017/03/13";"1,108055";"123014525";"0";"2528716,7";"2,1%";"2,05%";"4,91%";"6,35%";"";"";""
"2017/03/10";"1,106361";"120301609";"0";"479112,89";"0,4%";"2,29%";"4,46%";"6,43%";"";"";""
"2017/03/09";"1,105035";"119678886";"0";"28818,67";"0,02%";"2,16%";"4,33%";"6,33%";"";"";""
"2017/03/08";"1,105759";"119728460";"0";"81916,91";"0,07%";"2,62%";"3,88%";"6,48%";"";"";""
"2017/03/07";"1,105537";"119622522";"0";"-1886366,8";"-1,55%";"2,88%";"3,74%";"6,33%";"";"";""
"2017/03/06";"1,10623";"121585056";"0";"412369,09";"0,34%";"3,24%";"3,9%";"6,44%";"";"";""
"2017/03/03";"1,108513";"121422759";"0";"256415,55";"0,21%";"3,89%";"4,45%";"6,74%";"";"";""
"2017/03/02";"1,107447";"121049824";"0";"-189182,73";"-0,16%";"3,79%";"4,35%";"6,74%";"";"";""
"2017/03/01";"1,107624";"121258384";"0";"2942025,19";"2,5%";"3,81%";"4,61%";"6,97%";"";"";""
"2017/02/28";"1,101263";"117636877";"0";"13900,37";"0,01%";"3,54%";"4,16%";"6,72%";"";"";""
"2017/02/27";"1,102865";"117794082";"0";"37821,71";"0,03%";"3,62%";"4,32%";"6,87%";"";"";""
"2017/02/24";"1,103514";"117825556";"0";"642412,9";"0,55%";"3,64%";"4,3%";"7,39%";"";"";""
"2017/02/23";"1,106777";"117529644";"0";"1437365,18";"1,24%";"4,19%";"4,58%";"7,76%";"";"";""
"2017/02/22";"1,106395";"116052210";"0";"-63931,14";"-0,06%";"4,25%";"4,6%";"7,57%";"";"";""
"2017/02/21";"1,105778";"116051387";"0";"-58256,18";"-0,05%";"4,35%";"4,48%";"7,85%";"";"";""
"2017/02/20";"1,101593";"115670207";"0";"919205,82";"0,8%";"3,99%";"4,09%";"7,44%";"";"";""
"2017/02/17";"1,100415";"114628291";"0";"2755101,09";"2,46%";"3,86%";"3,92%";"7,27%";"";"";""
"2017/02/16";"1,102099";"112044393";"0";"1638701";"1,48%";"4,04%";"3,99%";"7,95%";"";"";""
"2017/02/15";"1,103191";"110515086";"0";"1126359,53";"1,03%";"4,11%";"3,91%";"8,19%";"";"";""
"2017/02/14";"1,101158";"109187141";"0";"1026492,15";"0,95%";"4,08%";"3,79%";"8,41%";"";"";""
"2017/02/13";"1,100379";"108084132";"0";"269857,32";"0,25%";"3,86%";"3,71%";"8,33%";"";"";""
"2017/02/10";"1,098439";"107624195";"0";"105620,78";"0,1%";"3,61%";"3,67%";"8%";"";"";""
"2017/02/09";"1,096303";"107309496";"0";"545611,6";"0,51%";"3,47%";"3,41%";"7,85%";"";"";""
"2017/02/08";"1,094073";"106546715";"0";"85164,58";"0,08%";"3,18%";"3,32%";"7,38%";"";"";""
"2017/02/07";"1,0948";"106532293";"0";"29256,95";"0,03%";"3,38%";"3,51%";"7,1%";"";"";""
"2017/02/06";"1,093468";"106373458";"0";"550179,82";"0,52%";"3,57%";"3,39%";"6,97%";"";"";""
"2017/02/03";"1,094076";"105882119";"0";"-226059,36";"-0,21%";"3,35%";"3,88%";"6,72%";"";"";""
"2017/02/02";"1,09079";"105789488";"0";"2356276,83";"2,27%";"3,03%";"3,42%";"6,38%";"";"";""
"2017/02/01";"1,09385";"103723373";"0";"-183655,29";"-0,18%";"2,45%";"3,48%";"6,23%";"";"";""
"2017/01/31";"1,093259";"103850888";"0";"25,24";"0%";"2,4%";"3,32%";"6,17%";"";"";""
"2017/01/30";"1,094479";"103966753";"0";"26054,03";"0,02%";"2,51%";"3,43%";"6,28%";"";"";""
"2017/01/27";"1,098";"104275082";"0";"157023,06";"0,15%";"2,81%";"3,62%";"7,12%";"";"";""
"2017/01/26";"1,096089";"103936848";"0";"118364,88";"0,11%";"2,61%";"3,47%";"7,01%";"";"";""
"2017/01/25";"1,094675";"103684553";"0";"-100575,48";"-0,1%";"2,37%";"3,38%";"7,02%";"";"";""
"2017/01/24";"1,089335";"103278848";"0";"-59109,83";"-0,06%";"1,86%";"2,88%";"6,26%";"";"";""
"2017/01/23";"1,086758";"103093495";"0";"-1511874,21";"-1,44%";"1,85%";"2,64%";"6,01%";"";"";""
"2017/01/20";"1,087708";"104696811";"0";"714432,61";"0,69%";"2,15%";"2,67%";"6,85%";"";"";""
"2017/01/19";"1,086921";"103907143";"0";"461995,44";"0,45%";"2,24%";"2,66%";"6,43%";"";"";""
"2017/01/18";"1,086605";"103415073";"0";"37839,9";"0,04%";"2,39%";"2,57%";"6,55%";"";"";""
