"Letöltés idõpontja";"2017.06.08. 23:55"
"Alap neve:";"Concorde 3000 Nyíltvégû Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Kiegyensúlyozott"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2015/11/02"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"4,01%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"1,152842";"1593932054";"0";"12240893,41";"0,78%";"3%";"7,59%";"13,5%";"";"";""
"2017/06/06";"1,150639";"1578668660";"0";"9129191,55";"0,58%";"2,5%";"7,44%";"13,69%";"";"";""
"2017/06/02";"1,153649";"1573645286";"0";"-275,66";"-0%";"2,76%";"8,45%";"14,07%";"";"";""
"2017/06/01";"1,151561";"1570797406";"0";"9939803,41";"0,64%";"2,47%";"8,42%";"14,34%";"";"";""
"2017/05/31";"1,149144";"1557581534";"0";"11506924,6";"0,75%";"3,01%";"8,22%";"14%";"";"";""
"2017/05/30";"1,14711";"1543338037";"0";"218889,47";"0,01%";"2,83%";"8,03%";"13,58%";"";"";""
"2017/05/29";"1,147533";"1543688177";"0";"1010150,49";"0,07%";"2,87%";"8,26%";"13,85%";"";"";""
"2017/05/26";"1,147412";"1542515361";"0";"3805396,13";"0,25%";"2,49%";"8,12%";"14,11%";"";"";""
"2017/05/25";"1,146739";"1537807454";"0";"-217,44";"-0%";"2,43%";"8,05%";"14,19%";"";"";""
"2017/05/24";"1,146573";"1537585061";"0";"1117789,75";"0,07%";"2,42%";"8%";"14,46%";"";"";""
"2017/05/23";"1,145951";"1535633759";"0";"13187373,29";"0,87%";"1,81%";"7,81%";"14,79%";"";"";""
"2017/05/22";"1,14581";"1522259061";"0";"5124108,01";"0,34%";"1,7%";"7,86%";"14,85%";"";"";""
"2017/05/19";"1,143505";"1514082967";"0";"1308182,65";"0,09%";"2,17%";"8,12%";"15,01%";"";"";""
"2017/05/18";"1,137232";"1504476057";"0";"27614532,04";"1,86%";"1,61%";"7,53%";"13,88%";"";"";""
"2017/05/17";"1,140436";"1481022386";"0";"19909069,87";"1,36%";"1,9%";"7,67%";"13,95%";"";"";""
"2017/05/16";"1,142267";"1463459172";"0";"33489388,66";"2,34%";"2,05%";"7,72%";"13,83%";"";"";""
