"Letöltés idõpontja";"2017.06.08. 23:51"
"Alap neve:";"Citadella Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:";"2009/06/30"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"5,09%"
"5 éves szórás:";"4,54%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"2,092882";"59611654950";"0";"-7253493,73";"-0,01%";"1,09%";"1,08%";"5,79%";"12,8%";"9,28%";""
"2017/06/06";"2,090799";"59559571039";"0";"-32854768,04";"-0,06%";"1,19%";"1,01%";"6,05%";"12,76%";"9,28%";""
"2017/06/02";"2,095328";"59721512389";"0";"-39406070,97";"-0,07%";"0,92%";"1,32%";"6,21%";"12,85%";"9,3%";""
"2017/06/01";"2,094779";"59745260413";"0";"-32257792,83";"-0,05%";"0,97%";"1,25%";"6,14%";"12,74%";"9,29%";""
"2017/05/31";"2,09314";"59730746994";"0";"-20621259,15";"-0,03%";"1,28%";"1,44%";"5,66%";"12,71%";"9,24%";""
"2017/05/30";"2,096541";"59848454164";"0";"79588,78";"0%";"1,45%";"1,6%";"5,67%";"12,78%";"9,28%";""
"2017/05/29";"2,09923";"59925135430";"0";"-14715175,93";"-0,02%";"1,58%";"1,87%";"5,94%";"12,85%";"9,31%";""
"2017/05/26";"2,098565";"59920862691";"0";"-2256085,49";"-0%";"1,71%";"1,71%";"5,85%";"12,76%";"9,33%";""
"2017/05/25";"2,0985";"59921262745";"0";"-43935927,57";"-0,07%";"1,71%";"1,7%";"5,92%";"12,75%";"9,33%";""
"2017/05/24";"2,094721";"59857212737";"0";"-40553415,54";"-0,07%";"1,52%";"1,48%";"6,01%";"12,69%";"9,29%";""
"2017/05/23";"2,093526";"59863595573";"0";"715444,16";"0%";"1,13%";"1,41%";"5,8%";"12,66%";"9,32%";""
"2017/05/22";"2,090882";"59787276838";"0";"-47768,52";"-0%";"0,77%";"1,45%";"5,56%";"12,53%";"9,3%";""
"2017/05/19";"2,085315";"59628140092";"0";"-6374878,38";"-0,01%";"0,84%";"1,12%";"5,23%";"12,31%";"9,21%";""
"2017/05/18";"2,083316";"59577348837";"0";"-3408250,68";"-0,01%";"0,74%";"1,02%";"4,83%";"12,27%";"9,19%";""
"2017/05/17";"2,073891";"59311211500";"0";"-23788820,21";"-0,04%";"0,29%";"0,63%";"4,16%";"12,1%";"9,08%";""
"2017/05/16";"2,097996";"60024655747";"0";"11769141,23";"0,02%";"1,2%";"1,92%";"5,54%";"12,53%";"9,31%";""
"2017/05/15";"2,09578";"59949498231";"0";"-26122428,96";"-0,04%";"0,68%";"1,75%";"5,43%";"12,47%";"9,32%";""
"2017/05/12";"2,095036";"59954329369";"0";"-7774128,04";"-0,01%";"1,39%";"2,61%";"5,37%";"12,48%";"9,34%";""
"2017/05/11";"2,100129";"60107870440";"0";"-10560290,58";"-0,02%";"1,64%";"2,86%";"5,8%";"12,48%";"9,39%";""
"2017/05/10";"2,106102";"60289414221";"0";"-21382280,76";"-0,04%";"1,93%";"3,28%";"6,37%";"12,59%";"9,47%";""
"2017/05/09";"2,106181";"60313058763";"0";"-3334233,58";"-0,01%";"1,98%";"4,04%";"6,12%";"12,59%";"9,46%";""
"2017/05/08";"2,101765";"60189928466";"0";"-14228732,44";"-0,02%";"2,13%";"4,42%";"5,57%";"12,35%";"9,46%";""
"2017/05/05";"2,10119";"60187686570";"0";"-12310080,71";"-0,02%";"0,77%";"5,57%";"5,84%";"12,4%";"9,53%";""
"2017/05/04";"2,098122";"60112097132";"0";"-2970336,33";"-0%";"0,63%";"5,41%";"5,78%";"12,48%";"9,5%";""
"2017/05/03";"2,094395";"60008282040";"0";"-50400471,57";"-0,08%";"0,45%";"4,9%";"5,34%";"12,41%";"9,45%";""
"2017/05/02";"2,100512";"60234093053";"0";"-43465643,34";"-0,07%";"0,78%";"5,13%";"5,65%";"12,52%";"9,52%";""
"2017/04/28";"2,087867";"59914690153";"0";"-79389950,34";"-0,13%";"-0,33%";"2,85%";"5,77%";"12,21%";"9,46%";""
"2017/04/27";"2,0894";"60038130287";"0";"-27935067,12";"-0,05%";"-0,26%";"2,79%";"6,19%";"12,28%";"9,47%";""
"2017/04/26";"2,075145";"59656262654";"0";"-34058039,27";"-0,06%";"-1,13%";"2,38%";"5,64%";"12,02%";"9,35%";""
"2017/04/25";"2,079444";"59813978890";"0";"28373844,9";"0,05%";"-0,89%";"2,75%";"5,91%";"12,1%";"9,33%";""
"2017/04/24";"2,064556";"59357563661";"0";"-52458280,14";"-0,09%";"-0,96%";"1,91%";"5,27%";"11,85%";"9,31%";""
"2017/04/21";"2,047848";"58929229632";"0";"-69407761,15";"-0,12%";"-1,96%";"1,33%";"4,03%";"11,56%";"9,05%";""
"2017/04/20";"2,050621";"59078527708";"0";"-18777036,32";"-0,03%";"-1,83%";"1,6%";"4,15%";"11,61%";"9,08%";""
"2017/04/19";"2,053417";"59177883293";"0";"-52322650,53";"-0,09%";"-1,52%";"1,9%";"4,18%";"11,66%";"9,15%";""
"2017/04/18";"2,051262";"59168045606";"0";"-30728573,18";"-0,05%";"-1,43%";"1,9%";"4,4%";"11,62%";"9,1%";""
"2017/04/13";"2,047741";"59097159230";"0";"-49810607,84";"-0,08%";"-1,7%";"1,98%";"3,76%";"11,56%";"9,3%";""
"2017/04/12";"2,046669";"59116006180";"0";"-15568909,31";"-0,03%";"-1,58%";"1,54%";"3,4%";"11,54%";"9,1%";""
"2017/04/11";"2,045323";"59092686974";"0";"-53025238,07";"-0,09%";"-1,81%";"1,51%";"3,4%";"11,52%";"9,25%";""
"2017/04/10";"2,045382";"59147418347";"0";"-42343064,4";"-0,07%";"-1,89%";"1,44%";"3,65%";"11,55%";"9,28%";""
"2017/04/07";"2,045368";"59189356276";"0";"-11422576,61";"-0,02%";"-2,21%";"1,7%";"3,73%";"11,63%";"9,22%";""
"2017/04/06";"2,048197";"59282660941";"0";"-14049465,62";"-0,02%";"-2,07%";"1,69%";"4,3%";"11,66%";"9,25%";""
"2017/04/05";"2,047301";"59270770591";"0";"-56529460,73";"-0,1%";"-2,01%";"1,84%";"4,11%";"11,64%";"9,24%";""
"2017/04/04";"2,04602";"59290178851";"0";"1940036,03";"0%";"-2,16%";"1,92%";"4,34%";"11,62%";"9,26%";""
"2017/04/03";"2,04608";"59289977456";"0";"-10595926,48";"-0,02%";"-2,17%";"2,29%";"4,16%";"11,37%";"9,22%";""
"2017/03/31";"2,046149";"59302573177";"0";"-18876616,85";"-0,03%";"-2,03%";"2,39%";"4,11%";"11,59%";"9,24%";""
"2017/03/30";"2,045321";"59297444621";"0";"-19598118,62";"-0,03%";"-2,07%";"2,35%";"4,24%";"11,62%";"9,23%";""
"2017/03/29";"2,043284";"59257967017";"0";"-20555021,86";"-0,03%";"-2,17%";"2,42%";"4,15%";"11,59%";"9,21%";""
"2017/03/28";"2,042969";"59269383449";"0";"94027357,82";"0,16%";"-2,23%";"2,52%";"4,23%";"11,58%";"9,21%";""
"2017/03/27";"2,043453";"59189375331";"0";"-58491216,14";"-0,1%";"-2,27%";"2,74%";"4,25%";"11,55%";"9,2%";""
"2017/03/24";"2,043482";"59248707373";"0";"-29694547,86";"-0,05%";"-2,26%";"2,19%";"4,25%";"11,46%";"9,23%";""
"2017/03/23";"2,043431";"59276922486";"0";"-27952035,03";"-0,05%";"-2,27%";"2,19%";"4,19%";"11,38%";"9,23%";""
"2017/03/22";"2,042166";"59268161431";"0";"-306909455,82";"-0,52%";"-2,32%";"1,87%";"3,74%";"11,35%";"9,23%";""
"2017/03/21";"2,042571";"59586885746";"0";"-14148103,32";"-0,02%";"-2,28%";"2,07%";"3,93%";"11,36%";"9,21%";""
"2017/03/20";"2,047159";"59734909021";"0";"-1556578,14";"-0%";"-2,04%";"2,43%";"4,13%";"11,36%";"9,26%";""
"2017/03/17";"2,049446";"59803200668";"0";"-5250356,78";"-0,01%";"-1,83%";"2,75%";"4,07%";"11,49%";"9,22%";""
"2017/03/16";"2,050941";"59852079222";"0";"-112312459,49";"-0,19%";"-1,75%";"2,83%";"5,19%";"11,67%";"9,24%";""
"2017/03/14";"2,070261";"60529260221";"0";"-3395287,94";"-0,01%";"-0,77%";"3,53%";"5,66%";"12,01%";"9,44%";""
"2017/03/13";"2,068544";"60482451902";"0";"393165,5";"0%";"-0,72%";"3,12%";"5,57%";"11,83%";"9,49%";""
"2017/03/10";"2,074305";"60650504339";"0";"-7247297,76";"-0,01%";"-0,16%";"3,03%";"5,34%";"11,71%";"9,61%";""
"2017/03/09";"2,080016";"60824755245";"0";"-575856,14";"-0%";"0,12%";"3,32%";"6,04%";"11,82%";"9,67%";""
"2017/03/08";"2,07275";"60612853478";"0";"45343374,85";"0,07%";"-0,05%";"2,7%";"5,55%";"11,69%";"9,63%";""
"2017/03/07";"2,070317";"60496415783";"0";"2982180,05";"0%";"-0%";"2,67%";"5,4%";"11,64%";"9,65%";""
"2017/03/06";"2,06617";"60372260725";"0";"10504410,05";"0,02%";"-0,18%";"2,5%";"5,34%";"11,8%";"9,67%";""
"2017/03/03";"2,076713";"60669762915";"0";"-23149321,41";"-0,04%";"0,42%";"2,99%";"6,1%";"12,22%";"9,69%";""
"2017/03/02";"2,076318";"60681368176";"0";"69625343,98";"0,11%";"0,4%";"2,97%";"6,36%";"12,06%";"9,69%";""
"2017/03/01";"2,074748";"60565911492";"0";"18257950,07";"0,03%";"0,28%";"3,3%";"6,22%";"12,03%";"9,65%";""
