"Letöltés idõpontja";"2017.06.08. 23:52"
"Alap neve:";"Concorde Columbus Globális Értékalapú Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:";"2007/09/04"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"3,28%"
"5 éves szórás:";"4,01%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"1,936573";"81085804048";"0";"7320074,13";"0,01%";"1,04%";"2,86%";"6,4%";"5,7%";"10,6%";""
"2017/06/06";"1,936015";"81055122193";"0";"6798144,75";"0,01%";"0,75%";"2,36%";"6,48%";"5,69%";"10,44%";""
"2017/06/02";"1,939302";"81185929305";"0";"15596581,09";"0,02%";"0,98%";"3,03%";"6,74%";"5,77%";"10,42%";""
"2017/06/01";"1,93911";"81162296480";"0";"-45093969,67";"-0,06%";"1,12%";"3,23%";"6,95%";"5,85%";"10,42%";""
"2017/05/31";"1,940544";"81267444494";"0";"135217516,39";"0,17%";"1,36%";"3,49%";"6,78%";"5,88%";"10,69%";""
"2017/05/30";"1,936591";"80966955954";"0";"22249014,29";"0,03%";"1,15%";"3,28%";"6,42%";"5,81%";"10,65%";""
"2017/05/29";"1,938991";"81045020995";"0";"-80071914,12";"-0,1%";"1,28%";"3,91%";"6,7%";"5,92%";"10,58%";""
"2017/05/26";"1,938589";"81108273704";"0";"-513580677,53";"-0,63%";"1,11%";"3,76%";"6,48%";"6,01%";"10,46%";""
"2017/05/25";"1,937682";"81583666286";"0";"-10058215,3";"-0,01%";"1,06%";"3,71%";"6,41%";"5,98%";"10,45%";""
"2017/05/24";"1,94201";"81775971970";"0";"-262106152,13";"-0,32%";"1,29%";"3,7%";"6,67%";"6,06%";"10,6%";""
"2017/05/23";"1,943526";"82102119876";"0";"191416411,25";"0,23%";"1,08%";"3,76%";"6,41%";"6,08%";"10,59%";""
"2017/05/22";"1,943155";"81895067517";"0";"55722261,34";"0,07%";"1,01%";"3,74%";"6,42%";"6,04%";"10,61%";""
"2017/05/19";"1,942526";"81812853829";"0";"-9169335,19";"-0,01%";"1%";"3,65%";"6,33%";"6,12%";"10,44%";""
"2017/05/18";"1,938577";"81655685535";"0";"14688933,48";"0,02%";"0,8%";"3,44%";"5,83%";"6,04%";"10,39%";""
"2017/05/17";"1,946948";"81993531880";"0";"227048891,08";"0,28%";"1,23%";"3,93%";"6,04%";"6,19%";"10,65%";""
"2017/05/16";"1,938211";"81399552921";"0";"45376505,35";"0,06%";"0,69%";"3,24%";"5,57%";"6,04%";"10,52%";""
"2017/05/15";"1,936364";"81276650716";"0";"24578381,32";"0,03%";"0,75%";"3,03%";"5,47%";"6,1%";"10,65%";""
"2017/05/12";"1,937947";"81318496845";"0";"35194518,4";"0,04%";"0,78%";"3,18%";"5,95%";"6,17%";"10,61%";""
"2017/05/11";"1,937412";"81260862824";"0";"-24383894,99";"-0,03%";"0,76%";"3,16%";"6,13%";"6,1%";"10,61%";""
"2017/05/10";"1,936908";"81264101106";"0";"72107409,34";"0,09%";"0,73%";"3,08%";"6,34%";"6,09%";"10,59%";""
"2017/05/09";"1,934545";"81092940628";"0";"20268334,77";"0,03%";"0,49%";"3,16%";"6,09%";"6,05%";"10,5%";""
"2017/05/08";"1,928765";"80830444769";"0";"17399898,49";"0,02%";"-0,02%";"2,81%";"5,43%";"5,94%";"10,52%";""
"2017/05/05";"1,928548";"80803952819";"0";"37624603,88";"0,05%";"0,15%";"2,19%";"5,5%";"5,84%";"10,46%";""
"2017/05/04";"1,921858";"80486155393";"0";"-36530438,29";"-0,05%";"-0,2%";"1,83%";"5,58%";"5,67%";"10,38%";""
"2017/05/03";"1,913424";"80169315118";"0";"27635318,42";"0,03%";"-0,64%";"1,32%";"4,99%";"5,51%";"10,38%";""
"2017/05/02";"1,911797";"80073534677";"0";"28077452,55";"0,04%";"-0,72%";"1,6%";"4,61%";"5,48%";"10,36%";""
"2017/04/28";"1,914935";"80176842850";"0";"83458070,62";"0,1%";"-0,95%";"1,3%";"4,72%";"5,51%";"10,38%";""
"2017/04/27";"1,910886";"79924032757";"0";"39336049,19";"0,05%";"-1,16%";"1,11%";"4,88%";"5,38%";"10,33%";""
"2017/04/26";"1,919619";"80249780264";"0";"189991629,28";"0,24%";"-0,5%";"2,01%";"5,76%";"5,54%";"10,42%";""
"2017/04/25";"1,918751";"80023587755";"0";"90825586,97";"0,11%";"-0,59%";"2,33%";"5,85%";"5,53%";"10,27%";""
"2017/04/24";"1,92312";"80114769233";"0";"1543044664,67";"1,98%";"-0,09%";"2,55%";"6,1%";"5,61%";"10,15%";""
"2017/04/21";"1,911827";"78110333451";"0";"72206220,01";"0,09%";"-1,1%";"1,91%";"5,52%";"5,66%";"10,12%";""
"2017/04/20";"1,90819";"77889669934";"0";"-5392070,88";"-0,01%";"-1,29%";"1,69%";"5,56%";"5,59%";"10,08%";""
"2017/04/19";"1,913432";"78109047989";"0";"34619953,9";"0,04%";"-0,66%";"2,05%";"5,75%";"5,69%";"10,08%";""
"2017/04/18";"1,908207";"77861230552";"0";"60429707,76";"0,08%";"-0,85%";"1,99%";"5,85%";"5,59%";"10,1%";""
"2017/04/13";"1,910867";"77909253507";"0";"-215550035,91";"-0,28%";"-0,68%";"2,63%";"5,86%";"5,68%";"10,04%";""
"2017/04/12";"1,907671";"77994136745";"0";"5607229,82";"0,01%";"-0,73%";"2,33%";"5,16%";"5,62%";"10,04%";""
"2017/04/11";"1,90886";"78037137667";"0";"320142443,67";"0,41%";"-0,97%";"2,18%";"4,89%";"5,64%";"9,96%";""
"2017/04/10";"1,908885";"77718013069";"0";"-487131,17";"-0%";"-0,94%";"2,64%";"5,28%";"5,67%";"9,99%";""
"2017/04/07";"1,909005";"77723385890";"0";"133899457,02";"0,17%";"-0,46%";"2,56%";"5,83%";"5,62%";"9,93%";""
"2017/04/06";"1,909834";"77623180260";"0";"9290559,72";"0,01%";"-0,41%";"2,69%";"6,33%";"5,56%";"9,94%";""
"2017/04/05";"1,908232";"77548785900";"0";"40657691,05";"0,05%";"-0,52%";"2,73%";"6,44%";"5,53%";"9,92%";""
"2017/04/04";"1,908801";"77531239720";"0";"378077216,59";"0,49%";"-0,2%";"3,13%";"6,7%";"5,54%";"9,95%";""
"2017/04/03";"1,912258";"77292893404";"0";"64115850,8";"0,08%";"-0,34%";"3,25%";"6,84%";"5,65%";"10,04%";""
"2017/03/31";"1,910491";"77157415190";"0";"-16648428,79";"-0,02%";"0,11%";"3,24%";"6,19%";"5,87%";"9,91%";""
"2017/03/30";"1,90311";"76875908975";"0";"5799192,5";"0,01%";"-0,28%";"2,84%";"6,14%";"5,63%";"9,83%";""
"2017/03/29";"1,907758";"77057851043";"0";"-248375599,5";"-0,32%";"0,27%";"2,95%";"6,61%";"5,72%";"9,89%";""
"2017/03/28";"1,91896";"77760154421";"0";"580329567,54";"0,75%";"0,79%";"4,05%";"7,16%";"5,92%";"10,12%";""
"2017/03/27";"1,925533";"77444188357";"0";"35299045,48";"0,05%";"1,18%";"4,51%";"7,52%";"5,92%";"10,2%";""
"2017/03/24";"1,928621";"77533030861";"0";"-87907949,31";"-0,11%";"1,35%";"3,94%";"7,7%";"6,07%";"10,12%";""
