"Letöltés idõpontja";"2017.06.08. 23:39"
"Alap neve:";"Concorde Hold Alapok Alapja"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Alapok alapja"
"Alap indulási dátuma:";"2011/03/19"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"2,49%"
"5 éves szórás:";"2,23%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"1,522967";"36412322948";"0";"-14022766,69";"-0,04%";"0,5%";"1,65%";"3,9%";"4,19%";"6,44%";""
"2017/06/06";"1,522337";"36411277366";"0";"-45538711,83";"-0,12%";"0,36%";"1,75%";"4,05%";"4,18%";"6,39%";""
"2017/06/02";"1,52421";"36501670546";"0";"49992184,76";"0,14%";"0,44%";"2,2%";"4,21%";"4,24%";"6,43%";""
"2017/06/01";"1,524045";"36447732365";"0";"-46826461,55";"-0,13%";"0,58%";"2,16%";"4,28%";"4,24%";"6,42%";""
"2017/05/31";"1,523563";"36483016925";"0";"-4369470,09";"-0,01%";"0,65%";"2,26%";"4,13%";"4,23%";"6,48%";""
"2017/05/30";"1,52315";"36477495573";"0";"36384175,97";"0,1%";"0,63%";"2,24%";"4,01%";"4,22%";"6,47%";""
"2017/05/29";"1,524128";"36464509885";"0";"4104680,58";"0,01%";"0,69%";"2,45%";"4,14%";"4,27%";"6,43%";""
"2017/05/26";"1,52455";"36470500348";"0";"11360247,48";"0,03%";"0,7%";"2,35%";"4,19%";"4,29%";"6,42%";""
"2017/05/25";"1,524687";"36462416413";"0";"-138886250,38";"-0,38%";"0,7%";"2,36%";"4,25%";"4,29%";"6,42%";""
"2017/05/24";"1,525306";"36616162242";"0";"-29534201,08";"-0,08%";"0,75%";"2,32%";"4,52%";"4,3%";"6,48%";""
"2017/05/23";"1,525125";"36641347892";"0";"-13431530,58";"-0,04%";"0,61%";"2,28%";"4,67%";"4,3%";"6,48%";""
"2017/05/22";"1,524403";"36637426910";"0";"-50138359,43";"-0,14%";"0,63%";"2,37%";"4,6%";"4,25%";"6,49%";""
"2017/05/19";"1,523176";"36658035255";"0";"-21170670";"-0,06%";"0,65%";"2,21%";"4,5%";"4,23%";"6,42%";""
"2017/05/18";"1,521342";"36635041847";"0";"9254907,42";"0,03%";"0,53%";"2,09%";"4,2%";"4,2%";"6,4%";""
"2017/05/17";"1,521854";"36638113164";"0";"23761514,21";"0,06%";"0,56%";"2,26%";"4,13%";"4,21%";"6,49%";""
"2017/05/16";"1,525212";"36695141918";"0";"-4564821,6";"-0,01%";"0,71%";"2,54%";"4,43%";"4,28%";"6,48%";""
"2017/05/15";"1,524592";"36684788277";"0";"-129974396,53";"-0,35%";"0,63%";"2,51%";"4,38%";"4,29%";"6,51%";""
"2017/05/12";"1,524552";"36813796782";"0";"564191,19";"0%";"0,79%";"2,68%";"4,3%";"4,29%";"6,45%";""
"2017/05/11";"1,526043";"36849235646";"0";"-13770305,83";"-0,04%";"0,89%";"2,78%";"4,53%";"4,31%";"6,47%";""
"2017/05/10";"1,527536";"36899070773";"0";"-31363641,46";"-0,08%";"0,99%";"2,9%";"4,71%";"4,35%";"6,48%";""
"2017/05/09";"1,526957";"36916436236";"0";"8605735,37";"0,02%";"0,87%";"3,02%";"4,79%";"4,33%";"6,45%";""
