"Letöltés idõpontja";"2017.06.08. 23:43"
"Alap neve:";"Concorde Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Hosszú kötvény"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";"Az Alapkezelõ célja, hogy a befektetési lehetõségek figyelembevételével az Alap portfoliójának döntõ többségét forintban denominált fix vagy változó kamatozású, alacsony kockázatú értékpapírokba fektetve a referenciaindex teljesítményét meghaladó hozamot érjen el. Az Alapkezelõ elsõsorban a magyar állampapírpiaci befektetéseket szeretné alacsony költségszint mellett a Befektetési Jegyek tulajdonosainak elérhetõvé tenni.

Az Alapkezelõ az Alap eszközeit legfõképpen a Magyar Állam által kibocsátott államkötvényekben és diszkontkincstárjegyekben, igyekszik tartani, valamint alacsony kockázatú fix és változó kamatozású vállalati kötvényekbe, jelzáloglevelekbe, egyéb hitelviszonyt megtestesítõ értékpapírokba és egyéb alacsony kockázatú tõke- és pénzpiaci eszközökbe, ügyletekbe fektetheti.

Megfelelõ nemzetközi tõkepiaci környezet esetén az Alap portfoliójának 30%-ig külföldi (kizárólag OECD tagállam, illetve ottani székhelyû) kibocsátó által kibocsátott állampapírokat, vállalati és egyéb kötvényeket, jelzálogleveleket vásárolhat az Alapkezelõ. A belföldi és külföldi részvények együttes aránya az Alap portfolióján belül nem haladhatja meg az Alap nettó eszközértékének 10%-át. Az Alapkezelõ az Alap nevében csak olyan származtatott ügyletet köthet, amely csökkenti a külföldi befektetések devizakockázatát, a részvények árfolyamkockázatát, valamint a kötvények kamatlábkockázatát (fedezeti ügylet), illetve arbitrázs célokat szolgál, továbbá az árfolyamkockázatot csökkenti. A származtatott ügyletek nem nettósított, összesített értéke az Alap nettó eszközértékének 30%-át nem haladhatja meg. E korlátba nem számítandó bele az árfolyamkockázat csökkentésére kötött származtatott ügylet és a hitelintézettel állampapírra kötött repó ügylet."
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2001/03/29"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"Raiffeisen Bank Zrt."
"1 éves szórás:";"3,6%"
"5 éves szórás:";"4,13%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"3,50626";"7909566168";"0";"799196,73";"0,01%";"2,34%";"2,67%";"4,93%";"5,5%";"9,4%";"8,16%"
"2017/06/06";"3,505552";"7907169997";"0";"-5752808,55";"-0,07%";"2,32%";"2,98%";"4,99%";"5,49%";"9,64%";"8,11%"
"2017/06/02";"3,504414";"7910354050";"0";"4121225,33";"0,05%";"2,37%";"3,29%";"5,18%";"5,65%";"9,76%";"8,1%"
"2017/06/01";"3,504329";"7906041058";"0";"5168931,29";"0,07%";"2,28%";"3,01%";"5,13%";"5,84%";"9,76%";"8,1%"
"2017/05/31";"3,50629";"7905293404";"0";"-14453514,18";"-0,18%";"2,07%";"2,68%";"5,18%";"5,86%";"9,67%";"8,12%"
"2017/05/30";"3,506236";"7919624947";"0";"-6040724,46";"-0,08%";"2,06%";"2,68%";"5,02%";"5,86%";"9,61%";"8,12%"
"2017/05/29";"3,50417";"7920995585";"0";"9912797,56";"0,13%";"2%";"2,74%";"4,99%";"5,84%";"9,54%";"8,12%"
"2017/05/26";"3,508122";"7920004900";"0";"5531325,17";"0,07%";"2,36%";"3,3%";"5,14%";"6%";"9,57%";"8,13%"
"2017/05/25";"3,508266";"7914798445";"0";"13423712,16";"0,17%";"2,36%";"3,31%";"5,05%";"6,12%";"9,57%";"8,13%"
"2017/05/24";"3,506124";"7896550485";"0";"-3300419,27";"-0,04%";"2,3%";"3,36%";"4,77%";"6,1%";"9,57%";"8,12%"
"2017/05/23";"3,498363";"7882364146";"0";"-11124729,02";"-0,14%";"2,08%";"3,28%";"4,53%";"6,02%";"9,56%";"8,08%"
"2017/05/22";"3,495853";"7887825467";"0";"2073371,4";"0,03%";"2,15%";"3,18%";"4,75%";"6,09%";"9,47%";"8,1%"
"2017/05/19";"3,491957";"7876963714";"0";"-7705150,78";"-0,1%";"2,22%";"3,47%";"4,85%";"6,02%";"9,51%";"8,1%"
"2017/05/18";"3,495382";"7892402348";"0";"5517269,14";"0,07%";"2,32%";"3,58%";"4,66%";"6,03%";"9,53%";"8,11%"
"2017/05/17";"3,494264";"7884362454";"0";"-533001,88";"-0,01%";"2,29%";"3,27%";"4,62%";"6,02%";"9,5%";"8,09%"
"2017/05/16";"3,497163";"7891437123";"0";"-4095137,17";"-0,05%";"2,45%";"3,41%";"4,74%";"6,05%";"9,49%";"8,1%"
"2017/05/15";"3,492065";"7884022524";"0";"-3383495,61";"-0,04%";"2,25%";"2,95%";"4,58%";"5,85%";"9,32%";"8,08%"
"2017/05/12";"3,488625";"7879636211";"0";"7954529,59";"0,1%";"1,93%";"2,61%";"4,26%";"6,25%";"9,31%";"8,09%"
"2017/05/11";"3,487318";"7868732586";"0";"-7346701,75";"-0,09%";"1,9%";"2,57%";"4,18%";"6,25%";"9,3%";"8,08%"
"2017/05/10";"3,481274";"7862428963";"0";"3694322,31";"0,05%";"1,72%";"2,2%";"3,9%";"6,19%";"9,25%";"8,04%"
"2017/05/09";"3,472776";"7839550995";"0";"-1810513,31";"-0,02%";"1,43%";"1,1%";"3,45%";"6,1%";"9,21%";"8%"
"2017/05/08";"3,471595";"7838694867";"0";"2985742,6";"0,04%";"1,51%";"0,94%";"3,42%";"6,12%";"9,19%";"8%"
"2017/05/05";"3,466316";"7823793936";"0";"11648764,91";"0,15%";"1,14%";"0,73%";"3,5%";"6,27%";"9,1%";"8,03%"
"2017/05/04";"3,464615";"7808311574";"0";"-32517831,79";"-0,41%";"1,09%";"0,68%";"3,56%";"6,24%";"9,09%";"8,02%"
"2017/05/03";"3,466231";"7844486603";"0";"-6177901,79";"-0,08%";"1,14%";"0,69%";"3,39%";"6,25%";"9,11%";"8,06%"
"2017/05/02";"3,464062";"7845751938";"0";"-87883,83";"-0%";"0,96%";"0,62%";"3,44%";"6,23%";"9,12%";"8,05%"
"2017/04/28";"3,46612";"7850501037";"0";"-6035725,65";"-0,08%";"1,02%";"0,59%";"3,26%";"6,53%";"9,17%";"8,05%"
"2017/04/27";"3,459422";"7841354633";"0";"-627927,6";"-0,01%";"0,83%";"0,31%";"2,83%";"6,43%";"9,12%";"8,03%"
"2017/04/26";"3,452653";"7826638269";"0";"-3622791,01";"-0,05%";"0,62%";"-0,05%";"1,95%";"6,36%";"9,1%";"8,03%"
"2017/04/25";"3,45728";"7840754619";"0";"-1278543,12";"-0,02%";"0,78%";"-0,03%";"1,91%";"6,41%";"9,13%";"8,05%"
"2017/04/24";"3,453789";"7834114643";"0";"-13508644,37";"-0,17%";"0,58%";"-0,08%";"1,76%";"6,37%";"9,59%";"8,04%"
"2017/04/21";"3,454169";"7848486715";"0";"3096557,08";"0,04%";"0,72%";"0,12%";"1,66%";"6,59%";"9,58%";"8,05%"
"2017/04/20";"3,457576";"7853128414";"0";"-4380877,52";"-0,06%";"0,82%";"0,39%";"1,77%";"6,62%";"9,6%";"8,06%"
"2017/04/19";"3,460295";"7863688351";"0";"-17758215,04";"-0,23%";"0,74%";"0,65%";"1,82%";"6,65%";"9,62%";"8,08%"
"2017/04/18";"3,457312";"7874652245";"0";"-4958367,18";"-0,06%";"0,68%";"0,72%";"1,9%";"6,62%";"9,64%";"8,07%"
"2017/04/13";"3,455776";"7876109892";"0";"-13823869,38";"-0,18%";"0,48%";"0,82%";"1,84%";"6,56%";"9,67%";"8,08%"
"2017/04/12";"3,451831";"7880926873";"0";"13246030,8";"0,17%";"0,33%";"0,76%";"2,12%";"6,52%";"9,59%";"8,06%"
"2017/04/11";"3,450843";"7865428916";"0";"1837676,74";"0,02%";"0,46%";"0,66%";"2,11%";"6,51%";"9,64%";"8,1%"
"2017/04/10";"3,450044";"7861770522";"0";"-16481870,3";"-0,21%";"0,7%";"0,49%";"2,44%";"6,49%";"9,68%";"8,12%"
"2017/04/07";"3,449111";"7876121866";"0";"-8759564,1";"-0,11%";"0,05%";"0,43%";"2,26%";"6,58%";"9,68%";"8,11%"
"2017/04/06";"3,453177";"7894176558";"0";"-16722191,46";"-0,21%";"0,17%";"0,26%";"2,33%";"6,63%";"9,71%";"8,12%"
"2017/04/05";"3,452742";"7909902206";"0";"-4762625,89";"-0,06%";"-0,05%";"0,24%";"2,15%";"6,63%";"9,7%";"8,13%"
"2017/04/04";"3,455645";"7921319332";"0";"3774318,8";"0,05%";"0,04%";"0,24%";"2,08%";"6,66%";"9,72%";"8,14%"
"2017/04/03";"3,459651";"7926723527";"0";"-17350095,91";"-0,22%";"0,04%";"0,35%";"2,15%";"6,75%";"9,68%";"8,15%"
"2017/03/31";"3,456114";"7935951940";"0";"-22874624,98";"-0,29%";"-0,17%";"0,23%";"1,9%";"6,71%";"9,76%";"8,14%"
"2017/03/30";"3,448921";"7942262343";"0";"-12090022,62";"-0,15%";"-0,38%";"0,03%";"1,58%";"6,69%";"9,71%";"8,12%"
"2017/03/29";"3,44461";"7944409774";"0";"-3578372,46";"-0,05%";"-0,45%";"-0,16%";"1,53%";"6,65%";"9,64%";"8,12%"
"2017/03/28";"3,438344";"7933530169";"0";"-28662409,9";"-0,36%";"-0,57%";"-0,32%";"1,43%";"6,58%";"9,59%";"8,1%"
"2017/03/27";"3,44081";"7967903109";"0";"-21784253,53";"-0,27%";"-0,46%";"-0,38%";"1,51%";"6,76%";"9,57%";"8,11%"
"2017/03/24";"3,431877";"7968944608";"0";"-8045214,74";"-0,1%";"-0,8%";"-0,63%";"1,24%";"6,71%";"9,55%";"8,09%"
"2017/03/23";"3,425999";"7963327111";"0";"-50289683,37";"-0,63%";"-0,97%";"-0,8%";"1,11%";"6,62%";"9,51%";"8,07%"
"2017/03/22";"3,420949";"8001804542";"0";"3394777,41";"0,04%";"-1,05%";"-0,93%";"1,44%";"6,57%";"9,46%";"8,06%"
"2017/03/21";"3,407612";"7967226958";"0";"211222495,38";"2,72%";"-1,5%";"-1,2%";"0,95%";"6,43%";"9,35%";"8,02%"
"2017/03/20";"3,408543";"7758123495";"0";"-8127189,28";"-0,1%";"-1,08%";"-1,17%";"1,19%";"6,46%";"9,35%";"8,04%"
"2017/03/17";"3,406632";"7761896535";"0";"-7241835,77";"-0,09%";"-0,62%";"-0,76%";"1,21%";"6,61%";"9,32%";"8,11%"
"2017/03/16";"3,40709";"7770182882";"0";"-24561053,16";"-0,32%";"-0,6%";"-0,74%";"1,44%";"6,66%";"9,32%";"8,12%"
"2017/03/14";"3,406533";"7793469630";"0";"15895866,65";"0,2%";"-0,7%";"-0,66%";"1,58%";"6,65%";"9,32%";"8,11%"
"2017/03/13";"3,40777";"7780398001";"0";"-4007267,72";"-0,05%";"-0,63%";"-0,7%";"1,62%";"6,63%";"9,35%";"8,11%"
"2017/03/10";"3,404732";"7777465533";"0";"-1552108,72";"-0,02%";"-0,45%";"-0,78%";"1,43%";"6,65%";"9,35%";"8,11%"
"2017/03/09";"3,414714";"7801824181";"0";"-48462684,35";"-0,62%";"-0,16%";"-0,49%";"2,16%";"6,66%";"9,41%";"8,14%"
