"Letöltés idõpontja";"2017.06.08. 23:54"
"Alap neve:";"Concorde Közép Európai Részvény Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Részvény"
"Földrajzi kitettség:";"Közép-Kelet-Európa"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2008/01/15"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"12,59%"
"5 éves szórás:";"12,69%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"1,246912";"12123677934";"0";"33897764,15";"0,28%";"7,24%";"19,89%";"26,38%";"5,23%";"8,73%";""
"2017/06/06";"1,242977";"12051627289";"0";"104877,31";"0%";"5,81%";"20,28%";"27,84%";"5,12%";"8,7%";""
"2017/06/02";"1,24975";"12117191335";"0";"66778833,34";"0,56%";"5,73%";"24,18%";"29,27%";"5,84%";"9,3%";""
"2017/06/01";"1,242485";"11980361494";"0";"494919,65";"0%";"5,31%";"23,91%";"28,81%";"5,74%";"9,17%";""
"2017/05/31";"1,241744";"11972721956";"0";"605516,83";"0,01%";"7,93%";"24,14%";"27,05%";"5,72%";"9,19%";""
"2017/05/30";"1,241263";"11967478939";"0";"-446380,19";"-0%";"7,89%";"24,1%";"25,5%";"5,71%";"9,27%";""
"2017/05/29";"1,250928";"12061112660";"0";"-4597889,26";"-0,04%";"8,73%";"25,52%";"26,7%";"5,81%";"9,15%";""
"2017/05/26";"1,252507";"12080940648";"0";"-402082818,14";"-3,2%";"7,56%";"24,7%";"26,91%";"6,17%";"9,47%";""
"2017/05/25";"1,259047";"12548203919";"0";"220146,87";"0%";"8,13%";"25,35%";"27,46%";"6,45%";"9,58%";""
"2017/05/24";"1,249734";"12455168037";"0";"-18258350,1";"-0,15%";"7,33%";"23,98%";"27,66%";"6,19%";"9,45%";""
"2017/05/23";"1,246319";"12439341733";"0";"4876008,33";"0,04%";"5,38%";"23,91%";"28,12%";"6,09%";"9,25%";""
"2017/05/22";"1,25587";"12529755600";"0";"1589148,1";"0,01%";"5,85%";"25,5%";"29,42%";"6,5%";"9,11%";""
"2017/05/19";"1,250746";"12477051030";"0";"-18059125,74";"-0,15%";"7,37%";"26,56%";"29,13%";"7,19%";"9,43%";""
"2017/05/18";"1,238099";"12368765032";"0";"4989815,68";"0,04%";"6,28%";"25,28%";"26,53%";"6,96%";"9,21%";""
"2017/05/17";"1,245664";"12439320031";"0";"7370321,94";"0,06%";"6,93%";"25,35%";"26,78%";"7,17%";"9,53%";""
"2017/05/16";"1,251032";"12485523310";"0";"6350687,57";"0,05%";"6,63%";"24,98%";"28,28%";"7,33%";"9,3%";""
"2017/05/15";"1,259766";"12566295169";"0";"982659,87";"0,01%";"7,7%";"24,98%";"29,17%";"7,78%";"9,48%";""
"2017/05/12";"1,253027";"12498095549";"0";"1848660,68";"0,01%";"8,87%";"23,26%";"28,94%";"7,04%";"8,66%";""
