"Letöltés idõpontja";"2017.06.08. 23:48"
"Alap neve:";"Platina Pí Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:";"B sorozat"
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:";"2010/12/16"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"2,98%"
"5 éves szórás:";"2,77%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"4,068834";"39945575647";"0";"-65056578,9";"-0,16%";"0,93%";"0,72%";"3,83%";"3,17%";"7,28%";""
"2017/06/06";"4,066583";"39988497154";"0";"9354385,59";"0,02%";"0,83%";"0,63%";"3,93%";"3,15%";"7,19%";""
"2017/06/02";"4,071479";"40027276025";"0";"-11079769,25";"-0,03%";"1,2%";"1,18%";"4,1%";"3,26%";"7,31%";""
"2017/06/01";"4,07113";"40034923777";"0";"-28959348,4";"-0,07%";"1,5%";"1%";"4,08%";"3,3%";"7,31%";""
"2017/05/31";"4,065297";"40006480726";"0";"11454267,49";"0,03%";"1,48%";"1,08%";"3,85%";"3,25%";"7,38%";""
"2017/05/30";"4,063769";"39979993756";"0";"-13462454,3";"-0,03%";"1,44%";"1,04%";"3,78%";"3,23%";"7,35%";""
"2017/05/29";"4,065788";"40013326136";"0";"-1885659,24";"-0%";"1,49%";"1,32%";"3,89%";"3,28%";"7,22%";""
"2017/05/26";"4,070248";"40059106815";"0";"-4470036,37";"-0,01%";"1,71%";"1,3%";"4,03%";"3,33%";"7,22%";""
"2017/05/25";"4,072501";"40085753200";"0";"-17255956,41";"-0,04%";"1,77%";"1,36%";"4,15%";"3,37%";"7,23%";""
"2017/05/24";"4,074786";"40125510164";"0";"-101459656,98";"-0,25%";"1,82%";"1,36%";"4,32%";"3,38%";"7,36%";""
"2017/05/23";"4,071717";"40196672139";"0";"104793723,43";"0,26%";"1,58%";"1,24%";"4,26%";"3,36%";"7,33%";""
"2017/05/22";"4,06792";"40054491519";"0";"16023297,12";"0,04%";"1,65%";"1,15%";"4,23%";"3,32%";"7,35%";""
"2017/05/19";"4,063528";"39995239999";"0";"84202391,25";"0,21%";"1,36%";"1,08%";"4,17%";"3,33%";"7,29%";""
"2017/05/18";"4,057356";"39850417643";"0";"-12154613,27";"-0,03%";"1,21%";"0,92%";"3,93%";"3,32%";"7,26%";""
