"Letöltés idõpontja";"2017.06.08. 23:41"
"Alap neve:";"Concorde Rövid Futamidejû Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Rövid kötvény"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";"Az Alapkezelõ célja, hogy a befektetési lehetõségek figyelembevételével az Alap portfoliójának döntõ többségét alacsony kockázatú forintban denominált fix vagy változó kamatozású, alacsony kockázatú értékpapírokba fektetve, valamint az azonnali és határidõs részvénypiaci férleárazásokat kihasználó arbitrázsügyletekkel a benchmark (RMAX Index) teljesítményét meghaladó hozamot érjen el. Az Alapkezelõ elsõsorban a rövid futamidejû magyar állampapírokba történõ befektetést szeretné alacsony költségszint mellett a Befektetési Jegyek tulajdonosainak elérhetõvé tenni.

Az Alapkezelõ törekszik arra, hogy kihasználva a piaci félreárazásokat, részvényeket vásároljon és az ezekbõl származó piaci kockázatokat (elsõsorban árfolyamkockázatot) arbitrázs (fedezeti) ügyletek megkötésével csökkentse és amennyiben ez lehetséges, teljesen kiküszöbölje. Az Alapkezelõ célja, hogy fedezeti üzletek kötésével az Alap mûködési költségeit ellensúlyozza, így a befektetõk nettó hozama hosszabb távon elérje vagy meghaladja a referencia teljesítményét.

Az Alapkezelõ az Alap eszközeit legfõképpen a Magyar Állam által kibocsátott államkötvényekben, diszkontkincstárjegyekben, alacsony kockázatú fix és változó kamatozású vállalati kötvényekben, jelzáloglevelekben, egyéb hitelviszonyt megtestesítõ értékpapírokban valamint olyan részvényekben igyekszik tartani, amelyek piaci kockázata határidõs eladással csökkentett. Ezen kívül az Alapkezelõ az Alap portfoliójának 10 százalékáig alacsony piaci kockázati szintû befektetési alapot is vásárolhat. Megfelelõ részvénypiaci helyzet esetén olyan részvényeket vásárolhat az Alapkezelõ az Alap portfoliójába, amelyek árfolyamkockázatát határidõs eladásokkal csökkenti, illetve amennyiben lehetséges teljesen megszünteti. Ezen fedezeti ügyletek árfolyamértéke nem haladhatja meg az Alap portfoliójának 60 százalékát. A fedezetlen részvények árfolyamértéke nem haladhatja meg az Alap portfoliójának 5 százalékát."
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"1998/05/11"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"0,94%"
"5 éves szórás:";"1,2%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"4,301192";"14558004375";"0";"-9859766,37";"-0,07%";"0,81%";"0,96%";"2,31%";"2,8%";"5,49%";"6,46%"
"2017/06/06";"4,300757";"14566390824";"0";"-35184744,27";"-0,24%";"0,8%";"1,04%";"2,31%";"2,8%";"5,54%";"6,45%"
"2017/06/02";"4,299317";"14596686599";"0";"-5133173,21";"-0,04%";"0,77%";"1,08%";"2,34%";"2,85%";"5,54%";"6,46%"
"2017/06/01";"4,30009";"14604445121";"0";"-102638501,04";"-0,7%";"0,76%";"1,02%";"2,34%";"2,9%";"5,54%";"6,46%"
"2017/05/31";"4,300184";"14707405119";"0";"-11162405,76";"-0,08%";"0,7%";"0,96%";"2,34%";"2,91%";"5,51%";"6,48%"
"2017/05/30";"4,299459";"14716086012";"0";"-10974177,81";"-0,07%";"0,68%";"0,95%";"2,28%";"2,9%";"5,5%";"6,47%"
"2017/05/29";"4,298918";"14725207087";"0";"-24362205,55";"-0,17%";"0,67%";"0,99%";"2,29%";"2,9%";"5,5%";"6,49%"
"2017/05/26";"4,300452";"14754832440";"0";"-39225312,96";"-0,27%";"0,77%";"1,16%";"2,33%";"2,97%";"5,52%";"6,5%"
"2017/05/25";"4,300307";"14793558936";"0";"-6921916,9";"-0,05%";"0,77%";"1,15%";"2,32%";"2,99%";"5,52%";"6,5%"
"2017/05/24";"4,299652";"14798226522";"0";"-10185144,08";"-0,07%";"0,76%";"1,15%";"2,23%";"2,99%";"5,52%";"6,47%"
"2017/05/23";"4,296779";"14798516780";"0";"-10717609,76";"-0,07%";"0,68%";"1,11%";"2,17%";"2,96%";"5,52%";"6,47%"
"2017/05/22";"4,295528";"14804922706";"0";"-3452417,73";"-0,02%";"0,69%";"1,08%";"2,21%";"2,98%";"5,51%";"6,47%"
"2017/05/19";"4,293897";"14802752425";"0";"-10685293,01";"-0,07%";"0,68%";"1,11%";"2,23%";"2,97%";"5,55%";"6,48%"
"2017/05/18";"4,295642";"14819457762";"0";"-12666907,53";"-0,09%";"0,72%";"1,15%";"2,19%";"2,97%";"5,55%";"6,48%"
