"Letöltés idõpontja";"2017.06.08. 23:46"
"Alap neve:";"Superposition Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";""
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:";"2014/01/21"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"1,7%"
"5 éves szórás:";""
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"1,212989";"5814183478";"0";"-2866435,41";"-0,05%";"0,14%";"1,46%";"3,31%";"5,93%";"";""
"2017/06/06";"1,213366";"5818857867";"0";"50868,95";"0%";"0,12%";"1,5%";"3,36%";"5,94%";"";""
"2017/06/02";"1,213085";"5817459437";"0";"6490953,77";"0,11%";"0,04%";"1,7%";"3,62%";"5,88%";"";""
"2017/06/01";"1,213388";"5812419926";"0";"-775332,98";"-0,01%";"0,12%";"1,64%";"3,63%";"5,92%";"";""
"2017/05/31";"1,214207";"5817118989";"0";"10859369,33";"0,19%";"0,23%";"1,52%";"3,72%";"5,94%";"";""
"2017/05/30";"1,213426";"5802524928";"0";"-547247,75";"-0,01%";"0,16%";"1,46%";"3,75%";"5,92%";"";""
"2017/05/29";"1,213318";"5802555678";"0";"-1718701,23";"-0,03%";"0,15%";"1,51%";"3,68%";"5,92%";"";""
"2017/05/26";"1,213827";"5806709335";"0";"-60306380,12";"-1,03%";"0,26%";"1,58%";"3,71%";"5,9%";"";""
"2017/05/25";"1,2138";"5866885211";"0";"-7960420,32";"-0,14%";"0,26%";"1,58%";"3,82%";"5,87%";"";""
"2017/05/24";"1,214766";"5879521114";"0";"-18176957,95";"-0,31%";"0,34%";"1,68%";"3,85%";"5,9%";"";""
"2017/05/23";"1,215437";"5900955782";"0";"-4997349,76";"-0,08%";"0,36%";"1,8%";"3,77%";"5,92%";"";""
"2017/05/22";"1,215439";"5905962850";"0";"-1050823,09";"-0,02%";"0,31%";"1,66%";"3,79%";"5,87%";"";""
"2017/05/19";"1,215016";"5904957900";"0";"-4844942,66";"-0,08%";"0,31%";"1,71%";"3,71%";"5,8%";"";""
"2017/05/18";"1,215143";"5910420567";"0";"-1307,36";"-0%";"0,32%";"1,72%";"3,63%";"5,88%";"";""
"2017/05/17";"1,214759";"5908554109";"0";"2625,87";"0%";"0,29%";"1,65%";"3,43%";"5,87%";"";""
"2017/05/16";"1,214161";"5905642829";"0";"-724724";"-0,01%";"0,24%";"1,61%";"3,42%";"5,86%";"";""
"2017/05/15";"1,21387";"5904951964";"0";"-3206717,52";"-0,05%";"0,21%";"1,54%";"3,4%";"5,84%";"";""
"2017/05/12";"1,213628";"5906980817";"0";"334076,71";"0,01%";"0,17%";"1,41%";"3,42%";"5,89%";"";""
"2017/05/11";"1,213903";"5907985147";"0";"3794,6";"0%";"0,19%";"1,44%";"3,54%";"5,86%";"";""
"2017/05/10";"1,213234";"5904725376";"0";"8384494,61";"0,14%";"0,13%";"1,16%";"3,66%";"5,84%";"";""
"2017/05/09";"1,212906";"5894746795";"0";"665,75";"0%";"0,12%";"1,05%";"3,42%";"5,83%";"";""
"2017/05/08";"1,212048";"5890576233";"0";"-3441614,3";"-0,06%";"0,05%";"1,14%";"3,17%";"5,8%";"";""
"2017/05/05";"1,211598";"5891829561";"0";"39233573,34";"0,67%";"-0,14%";"1,1%";"3,15%";"5,77%";"";""
"2017/05/04";"1,211196";"5850654136";"0";"-1395121,79";"-0,02%";"-0,18%";"1,07%";"3,18%";"5,85%";"";""
"2017/05/03";"1,209044";"5841651593";"0";"17712282,63";"0,3%";"-0,35%";"1,01%";"3,01%";"5,79%";"";""
"2017/05/02";"1,208307";"5820389197";"0";"450113,21";"0,01%";"-0,46%";"1,09%";"2,97%";"5,77%";"";""
"2017/04/28";"1,209137";"5823936867";"0";"4531733,74";"0,08%";"-0,35%";"1,23%";"3,15%";"5,75%";"";""
"2017/04/27";"1,208115";"5814486392";"0";"-1423,57";"-0%";"-0,44%";"1,29%";"3,26%";"5,71%";"";""
"2017/04/26";"1,209778";"5822491601";"0";"6035752,58";"0,1%";"-0,36%";"1,49%";"3,43%";"5,76%";"";""
"2017/04/25";"1,209843";"5816768360";"0";"12941124,38";"0,22%";"-0,34%";"1,72%";"3,48%";"5,76%";"";""
"2017/04/24";"1,210081";"5804968963";"0";"1960200,28";"0,03%";"-0,19%";"1,75%";"3,49%";"5,73%";"";""
"2017/04/21";"1,206715";"5786866928";"0";"10043786,92";"0,17%";"-0,61%";"1,57%";"3,28%";"5,96%";"";""
"2017/04/20";"1,206693";"5776717822";"0";"-926107,63";"-0,02%";"-0,61%";"1,48%";"3,27%";"5,96%";"";""
"2017/04/19";"1,207048";"5779343669";"0";"2000742,05";"0,03%";"-0,53%";"1,51%";"3,36%";"5,97%";"";""
"2017/04/18";"1,205918";"5771934362";"0";"6213074,91";"0,11%";"-0,57%";"1,49%";"3,22%";"5,94%";"";""
"2017/04/13";"1,206883";"5770335134";"0";"-22127797,1";"-0,38%";"-0,5%";"1,92%";"3,21%";"5,93%";"";""
"2017/04/12";"1,207116";"5793581220";"0";"1099941,74";"0,02%";"-0,38%";"1,74%";"3%";"5,94%";"";""
"2017/04/11";"1,206743";"5790691396";"0";"39078995,87";"0,68%";"-0,44%";"1,57%";"2,83%";"5,92%";"";""
"2017/04/10";"1,207685";"5756102187";"0";"-5632056,81";"-0,1%";"-0,47%";"1,82%";"3,05%";"5,98%";"";""
"2017/04/07";"1,208163";"5764014730";"0";"-563845,32";"-0,01%";"-0,55%";"1,96%";"3,01%";"6,03%";"";""
"2017/04/06";"1,208804";"5767637016";"0";"456366,4";"0,01%";"-0,5%";"2,12%";"3,26%";"6,08%";"";""
"2017/04/05";"1,208367";"5765095731";"0";"477,33";"0%";"-0,44%";"2,1%";"3,37%";"6,07%";"";""
"2017/04/04";"1,208605";"5766230747";"0";"-2095456,36";"-0,04%";"-0,49%";"2,34%";"3,65%";"6,07%";"";""
"2017/04/03";"1,209201";"5771170741";"0";"-30823874,19";"-0,53%";"-0,84%";"2,45%";"3,75%";"6,08%";"";""
"2017/03/31";"1,2111";"5811106407";"0";"2003962,27";"0,03%";"0,07%";"2,82%";"3,94%";"6,13%";"";""
"2017/03/30";"1,209406";"5800977088";"0";"-1936,67";"-0%";"-0,07%";"2,68%";"3,81%";"6,08%";"";""
"2017/03/29";"1,209738";"5802571480";"0";"-18683743,12";"-0,32%";"-0%";"2,58%";"3,79%";"6,09%";"";""
"2017/03/28";"1,211273";"5828641638";"0";"63311025,12";"1,1%";"0,19%";"2,79%";"3,87%";"6,14%";"";""
"2017/03/27";"1,211221";"5765083107";"0";"-37784,22";"-0%";"0,18%";"2,62%";"3,86%";"6,1%";"";""
"2017/03/24";"1,211534";"5766610696";"0";"-242,58";"-0%";"0,18%";"2,34%";"3,89%";"6,25%";"";""
"2017/03/23";"1,212082";"5769219287";"0";"-415381,27";"-0,01%";"0,22%";"2,39%";"4,1%";"6,3%";"";""
"2017/03/22";"1,211631";"5767487862";"0";"89835,95";"0%";"0,22%";"2,58%";"3,89%";"6,29%";"";""
"2017/03/21";"1,21293";"5773581303";"0";"-873887,17";"-0,02%";"0,55%";"2,61%";"3,96%";"6,33%";"";""
"2017/03/20";"1,211927";"5769680159";"0";"30165134,42";"0,53%";"0,6%";"2,56%";"3,79%";"6,33%";"";""
"2017/03/17";"1,211648";"5738193720";"0";"197849,95";"0%";"0,72%";"2,59%";"3,71%";"6,32%";"";""
"2017/03/16";"1,211507";"5737328137";"0";"13159602,91";"0,23%";"0,71%";"2,58%";"3,8%";"6,3%";"";""
"2017/03/14";"1,210704";"5720374493";"0";"983161,04";"0,02%";"1,08%";"2,22%";"3,74%";"6,27%";"";""
"2017/03/13";"1,211367";"5722523358";"0";"-630530,53";"-0,01%";"1,06%";"2,13%";"3,79%";"6,25%";"";""
"2017/03/10";"1,212206";"5727117779";"0";"13403277,77";"0,23%";"1,29%";"2,2%";"3,64%";"6,34%";"";""
"2017/03/09";"1,212057";"5713012192";"0";"2303532,93";"0,04%";"1,28%";"2,18%";"3,67%";"6,29%";"";""
"2017/03/08";"1,211884";"5709893555";"0";"-175732,95";"-0%";"1,31%";"2,48%";"3,51%";"6,29%";"";""
"2017/03/07";"1,211267";"5707162151";"0";"12338489,57";"0,22%";"1,32%";"2,66%";"3,3%";"6,27%";"";""
"2017/03/06";"1,211876";"5697686901";"0";"251838,82";"0%";"1,38%";"2,75%";"3,46%";"6,39%";"";""
"2017/03/03";"1,211768";"5696927318";"0";"-1424,05";"-0%";"1,59%";"2,72%";"3,38%";"6,22%";"";""
"2017/03/02";"1,212571";"5700703915";"0";"5730095,26";"0,1%";"1,66%";"2,79%";"3,5%";"6,34%";"";""
"2017/03/01";"1,211954";"5692076011";"0";"7695040,95";"0,14%";"1,52%";"2,77%";"3,47%";"6,32%";"";""
"2017/02/28";"1,211464";"5682082742";"0";"64209,13";"0%";"1,42%";"2,57%";"3,35%";"6,3%";"";""
"2017/02/27";"1,211167";"5680625541";"0";"1781,13";"0%";"1,36%";"2,54%";"3,33%";"6,27%";"";""
"2017/02/24";"1,21066";"5678245825";"0";"4457091,69";"0,08%";"1,33%";"2,56%";"3,01%";"6,22%";"";""
"2017/02/23";"1,211023";"5675489942";"0";"1170899,3";"0,02%";"1,43%";"2,6%";"3,24%";"6,25%";"";""
"2017/02/22";"1,211627";"5677149120";"0";"-3008172,69";"-0,05%";"1,34%";"2,68%";"3,54%";"6,27%";"";""
