"Letöltés idõpontja";"2017.06.08. 23:42"
"Alap neve:";"Concorde VM Abszolút Származtatott Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Abszolút hozamú"
"Földrajzi kitettség:";"Globális"
"Devizális kitettség:";""
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";"Az Alap potenciális befektetési területe a lehetõ legszélesebb és globális: bankbetétek, hazai és nemzetközi részvények illetve kötvények, devizák, egyéb befektetési eszközök, valamint ezekre és árupiaci termékekre vonatkozó származtatott ügyletek. A hagyományos befektetési alapoktól a széles eszköztáron túl abban tér el, hogy nem csak emelkedõ, de esõ piacon is van lehetõsége hozamot elérni. 

Az Alapkezelõ az Alap sikeres kezelése érdekében várhatóan befektetési tanácsokat vesz igénybe olyan társaságtól/társaságoktól, amelyek rendelkeznek befektetési tanácsadásra vonatkozó engedéllyel.

Az Alap célja az állampapírok által biztosított hozamnál nagyobb hozam elérése addicionális kockázat vállalása mellett. A többlethozam elérésének érdekében az Alap magasabb kockázatú instrumentumokat is vásárol és ad el, alapvetõen technikai alapú idõzítéssel, az eszközöket szelektíven kiválasztva. Ha viszont az Alapkezelõ nem lát megfelelõ lehetõséget magasabb kockázatú instrumentumokban, akkor alacsony kockázatú eszközökbe fekteti az Alap tõkéjét, egészen addig, amíg jó vételi vagy eladási lehetõségek nem adódnak."
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:";"2005/10/13"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"4,07%"
"5 éves szórás:";"3,5%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"2,181858";"20995797667";"0";"-11664291,4";"-0,06%";"-0,74%";"2,18%";"1,91%";"0,65%";"2,89%";"7%"
"2017/06/06";"2,181574";"21004727537";"0";"-8559205,41";"-0,04%";"-1,02%";"3%";"2,15%";"0,64%";"2,9%";"6,96%"
"2017/06/02";"2,182728";"21024402264";"0";"8023896,23";"0,04%";"-1,11%";"3,32%";"2,24%";"0,64%";"2,91%";"6,94%"
"2017/06/01";"2,18246";"21013797932";"0";"-9702288,05";"-0,05%";"-1,08%";"3,26%";"2,38%";"0,63%";"2,91%";"6,94%"
"2017/05/31";"2,182891";"21027652016";"0";"-4282720,69";"-0,02%";"-1,22%";"3,29%";"2,44%";"0,64%";"2,91%";"6,95%"
"2017/05/30";"2,183255";"21035441840";"0";"-17061751,59";"-0,08%";"-1,21%";"3,31%";"2,32%";"0,65%";"2,92%";"6,97%"
"2017/05/29";"2,183306";"21052995370";"0";"-797816,3";"-0%";"-1,2%";"3,16%";"2,33%";"0,64%";"2,92%";"6,97%"
"2017/05/26";"2,183491";"21055577156";"0";"-6990560,73";"-0,03%";"-1,41%";"2,98%";"2,53%";"0,67%";"2,92%";"6,97%"
"2017/05/25";"2,183766";"21065220444";"0";"-52291253,05";"-0,25%";"-1,4%";"2,99%";"2,65%";"0,68%";"2,92%";"6,97%"
"2017/05/24";"2,183885";"21118662454";"0";"-28656798,55";"-0,14%";"-1,39%";"2,97%";"3,19%";"0,68%";"2,92%";"6,98%"
